"","X1","Site","Subplot","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","group","dbh.class"
"45",46,"UMBS",112,"A01E",2817,"POGR",43.8,"L","OD","07/12/2018",NA,NA,"A","43-48"
"46",47,"UMBS",112,"A01E",2818,"ACSA",20.6,"L","OS","07/12/2018","2818 - 2819 share base",NA,"A","18-23"
"47",48,"UMBS",112,"A01E",2819,"ACSA",22.8,"L","OS","07/12/2018","2818 - 2819 share base",NA,"A","18-23"
"48",49,"UMBS",112,"A01E",2820,"POGR",38.2,"L","OD","07/12/2018",NA,NA,"A","38-43"
"49",50,"UMBS",112,"A01E",2821,"FAGR",10.9,"L","UN","07/12/2018",NA,NA,"A","8-13"
"50",51,"UMBS",112,"A01E",2822,"POGR",19.8,"D","UN","07/12/2018",NA,NA,"A","18-23"
"51",52,"UMBS",112,"A01E",2823,"POGR",34.9,"L","OD","07/12/2018",NA,NA,"A","33-38"
"52",53,"UMBS",112,"A01E",2824,"POGR",33.4,"L","OD","07/12/2018",NA,NA,"A","33-38"
"53",54,"UMBS",112,"A01E",2825,"POGR",36.4,"L","OD","07/12/2018",NA,NA,"A","33-38"
"54",55,"UMBS",112,"A01E",2826,"POGR",29.1,"L","OD","07/12/2018",NA,NA,"A","28-33"
"55",56,"UMBS",112,"A01E",2827,"FAGR",25.7,"D","UN","07/12/2018",NA,NA,"A","23-28"
"56",57,"UMBS",112,"A01E",2828,"FAGR",14.6,"L","OS","07/12/2018","Shares base with smaller tree",NA,"A","13-18"
"57",58,"UMBS",112,"A01E",2829,"POGR",32.5,"L","OD","07/12/2018",NA,NA,"A","28-33"
"58",59,"UMBS",112,"A01E",2830,"FAGR",9.6,"L","UN","07/12/2018",NA,NA,"A","8-13"
"59",60,"UMBS",112,"A01E",2831,"POGR",25.2,"L","OD","07/12/2018",NA,NA,"A","23-28"
"60",61,"UMBS",112,"A01E",2832,"FAGR",8.4,"D","UN","07/12/2018","2832 - 2834 share base",NA,"A","8-13"
"61",62,"UMBS",112,"A01E",2833,"FAGR",19.1,"L","OS","07/12/2018","2832 - 2834 share base",NA,"A","18-23"
"62",63,"UMBS",112,"A01E",2834,"FAGR",10.2,"L","UN","07/12/2018","2832 - 2834 share base",NA,"A","8-13"
"63",69,"UMBS",112,"A01E",2840,"POGR",35.1,"L","OD","07/12/2018",NA,NA,"A","33-38"
"64",70,"UMBS",112,"A01E",2841,"ACSA",10.9,"L","OS","07/12/2018","2841 - 2842 share base, taken a little above DBH",NA,"A","8-13"
"65",71,"UMBS",114,"A01E",2842,"ACSA",14,"L","OS","07/12/2018","2841 - 2842 share base",NA,"A","13-18"
"66",72,"UMBS",112,"A01E",2843,"BEPA",18.4,"D","UN","07/12/2018",NA,NA,"A","18-23"
"67",73,"UMBS",112,"A01E",2844,"ACSA",11.9,"L","OS","07/12/2018","Shares base with smaller tree",NA,"A","8-13"
"68",74,"UMBS",112,"A01E",2845,"POGR",33.9,"L","OD","07/12/2018",NA,NA,"A","33-38"
