lookupVariable,lookupValue,newVariable,newValue
SubplotID,A01W,severity,85
SubplotID,A01E,severity,85
SubplotID,A02W,severity,45
SubplotID,A02E,severity,45
SubplotID,A03W,severity,65
SubplotID,A03E,severity,65
SubplotID,A04W,severity,0
SubplotID,A04E,severity,0
SubplotID,B01W,severity,0
SubplotID,B01E,severity,0
SubplotID,B02W,severity,45
SubplotID,B02E,severity,45
SubplotID,B03W,severity,85
SubplotID,B03E,severity,85
SubplotID,B04W,severity,65
SubplotID,B04E,severity,65
SubplotID,C01W,severity,0
SubplotID,C01E,severity,0
SubplotID,C02W,severity,65
SubplotID,C02E,severity,65
SubplotID,C03W,severity,85
SubplotID,C03E,severity,85
SubplotID,C04W,severity,45
SubplotID,C04E,severity,45
SubplotID,D01W,severity,0
SubplotID,D01E,severity,0
SubplotID,D02W,severity,85
SubplotID,D02E,severity,85
SubplotID,D03W,severity,45
SubplotID,D03E,severity,45
SubplotID,D04W,severity,65
SubplotID,D04E,severity,65
