Site,Subplot,Tag,Species,DBH_cm,Health_status,Canopy_status,Date,Notes
UMBS,211,1549,ACRU,17.2,L,OS,07/03/2018,
UMBS,211,1550,ACRU,9.6,L,OS,07/03/2018,reading taken below DBH
UMBS,211,1551,ACRU,21.3,L,OD,07/03/2018,1551-1552 share base
UMBS,211,1552,ACRU,16.1,L,OD,07/03/2018,1551-1552 share base
UMBS,211,1553,ACRU,9.2,L,OS,07/03/2018,
UMBS,211,1554,ACRU,14.4,L,OD,07/03/2018,
UMBS,211,1555,ACRU,14.5,D,UN,07/03/2018,
UMBS,211,1556,ACRU,14,D,OS,07/03/2018,1556-1560 share base
UMBS,211,1557,ACRU,19.9,L,OD,07/03/2018,1556-1560 share base
UMBS,211,1558,ACRU,26.5,L,OD,07/03/2018,1556-1560 share base
UMBS,210,1559,ACRU,8.2,L,OS,07/03/2018,"1556-1560 share base, 1559 in new plot 210"
UMBS,211,1560,ACRU,23.9,L,OD,07/03/2018,1556-1560 share base
UMBS,211,1561,ACRU,10.3,L,OS,07/03/2018,1561-1563 share base
UMBS,211,1562,ACRU,20.7,L,OD,07/03/2018,"1561-1563 share base, reading taken below DBH"
UMBS,211,1563,ACRU,17.1,L,OD,07/03/2018,"1561-1563 share base, reading taken above DBH"
UMBS,211,1564,ACRU,11.5,L,OD,07/03/2018,1564-1566 share base
UMBS,211,1565,ACRU,16.6,L,OD,07/03/2018,1564-1566 share base
UMBS,211,1566,ACRU,13.2,L,OD,07/03/2018,1564-1566 share base
UMBS,211,1567,POGR,40.2,L,OD,07/03/2018,"NE veg plot, 1567 + 1593 share base"
UMBS,211,1568,POGR,41.3,L,OD,07/03/2018,
UMBS,211,1569,FAGR,8.6,D,UN,07/03/2018,
UMBS,209,1570,ACRU,20,L,OD,07/03/2018,"1570-1574 share base, 1570 in new plot 209"
UMBS,211,1571,ACRU,26.8,L,OD,07/03/2018,"1570-1574 share base, 1571 read outside plot at 18.16 m"
UMBS,211,1572,ACRU,16.8,L,OS,07/03/2018,"1570-1574 share base, 1572 read as outside plot at 18.16 m"
UMBS,211,1573,ACRU,12.7,L,OS,07/03/2018,1570-1574 share base
UMBS,209,1574,ACRU,19.4,L,OD,07/03/2018,"1570-1574 share base, 1574 in new plot 209"
UMBS,211,1575,QURU,8.5,L,OS,07/03/2018,read as outside plot at 18.12
UMBS,211,1576,POGR,38.7,L,OD,07/03/2018,
UMBS,211,1577,unknown ,14.2,D,UN,07/03/2018,
UMBS,211,1578,ACRU,23.2,L,OS,07/03/2018,
UMBS,211,1579,ACRU,18.4,L,OS,07/03/2018,
UMBS,211,1580,POGR,31.1,L,OD,07/03/2018,
UMBS,211,1581,QURU,8.8,L,OS,07/03/2018,
UMBS,211,1582,POGR,41.9,L,OD,07/03/2018,
UMBS,211,1583,QURU,18,L,OS,07/03/2018,
UMBS,211,1584,POGR,15.9,L,OD,07/03/2018,
UMBS,211,1585,POGR,38.6,L,OD,07/03/2018,
UMBS,211,1586,POGR,30.2,L,OD,07/03/2018,read as outside plot at 18.79
UMBS,211,1587,QURU,10.8,L,OS,07/03/2018,
UMBS,208,1588,QURU,13.4,L,OS,07/03/2018,in new plot 208
UMBS,211,1589,POGR,33.2,L,OD,07/03/2018,
UMBS,211,1590,POGR,40.7,L,OD,07/03/2018,
UMBS,211,1591,QURU,7.3,L,OS,07/03/2018,SE veg plot
UMBS,211,1592,ACRU,2.6,L,UN,07/03/2018,SE veg plot
UMBS,211,1593,QURU,5.1,L,UN,07/03/2018,"NE veg plot, 1567 + 1593 share base"
UMBS,211,1594,ACRU,2,L,UN,07/03/2018,SE veg plot
UMBS,211,1595,FAGR,1.5,L,UN,07/03/2018,SE veg plot
UMBS,211,1596,POGR,39.6,L,OD,07/03/2018,
UMBS,211,1597,QURU,8.2,D,UN,07/03/2018,bent over in an arch toward ground
UMBS,211,1598,QURU,9.2,L,UN,07/03/2018,
UMBS,211,1599,POGR,36.1,L,OD,07/03/2018,
UMBS,211,1600,ACRU,15.3,L,OD,07/03/2018,1600-1601 share base
UMBS,211,1601,ACRU,30.3,L,OD,07/03/2018,1600-1601 share base
UMBS,211,1602,ACRU,20.2,L,OD,07/03/2018,
UMBS,211,1603,POGR,13.4,D,OD,07/03/2018,
UMBS,211,1604,POGR,38.6,L,OD,07/03/2018,1604-1605 share base
UMBS,208,1605,POGR,38.3,L,OD,07/03/2018,"1604-1605 share base, 1605 in new plot 208"
UMBS,211,1606,FAGR,16.8,L,OS,07/03/2018,1606-1608 share base
UMBS,211,1607,FAGR,8.5,L,OS,07/03/2018,1606-1608 share base
UMBS,211,1608,FAGR,8.5,L,OS,07/03/2018,1606-1608 share base
UMBS,211,1609,POGR,35.7,L,OD,07/03/2018,
UMBS,211,1610,ACRU,9,D,UN,07/03/2018,1610-1612 share base
UMBS,211,1611,ACRU,25.3,L,OS,07/03/2018,1610-1612 share base
UMBS,211,1612,ACRU,24.6,L,OS,07/03/2018,1610-1612 share base
UMBS,211,1613,ACRU,14.8,L,OS,07/03/2018,
