Site,Subplot,Tag,Species,DBH_cm,Health_status,Canopy_status,Date,Notes
UMBS,342,1514,ACRU,10.8,L,OS,06/29/2018,
UMBS,342,1515,PIST,1.6,L,UN,06/29/2018,SW veg plot
UMBS,342,1516,QURU,28.7,L,OD,06/29/2018,SW veg plot
UMBS,342,1517,QURU,30.7,L,OD,06/29/2018,
UMBS,342,1518,QURU,20.8,L,OD,06/29/2018,
UMBS,342,1519,ACRU,8.2,L,OS,06/29/2018,
UMBS,342,1520,QURU,29.8,L,OD,06/29/2018,
UMBS,342,1521,QURU,28.4,L,OD,06/29/2018,
UMBS,342,1522,ACRU,15.5,L,OD,06/29/2018,
UMBS,342,1523,QURU,17.8,L,OD,06/29/2018,
UMBS,342,1524,ACRU,13.5,L,OD,06/29/2018,
UMBS,342,1525,QURU,15,L,OD,06/29/2018,
UMBS,342,1526,QURU,18.9,L,OD,06/29/2018,
UMBS,343,1527,ACRU,13.3,L,OS,06/29/2018,"reading taken under DBH, in new plot 343, 1527-1529 share base"
UMBS,343,1528,ACRU,9.1,D,UN,06/29/2018,"1527-1529 share base, in new plot 343"
UMBS,343,1529,ACRU,11.6,D,OS,06/29/2018,"1527-1529 share base, in new plot 343"
UMBS,342,1530,QURU,30.1,L,OD,06/29/2018,
UMBS,342,1531,QURU,26.7,L,OD,06/29/2018,
UMBS,342,1532,ACRU,9.5,L,UN,06/29/2018,
UMBS,342,1533,unknown,11.4,D,OS,06/29/2018,
UMBS,342,1534,QURU,14.4,L,OS,06/29/2018,
UMBS,342,1535,ACRU,14.3,L,OS,06/29/2018,1535-1536 share base
UMBS,342,1536,ACRU,14.3,L,OS,06/29/2018,1535-1536 share base
UMBS,342,1537,QURU,27.6,L,OD,06/29/2018,
UMBS,342,1538,FAGR,11.2,L,OS,06/29/2018,reading taken above DBH
UMBS,342,1539,ACRU,16.6,L,OS,06/29/2018,reading taken under DBH
UMBS,342,1540,ACRU,12.1,L,OS,06/29/2018,
UMBS,342,1541,ACRU,16,L,OD,06/29/2018,1541-1543 share base 
