Site,Subplot,Tag,Species,DBH_cm,Health_status,Canopy_status,Date,Notes
UMBS,331,1238,ACRU,8.7,L,OS,06/28/2018,Shared base with 1237
UMBS,331,1239,ACRU,9.8,L,OS,06/28/2018,Shared base with 1222
UMBS,331,1240,POGR,29.2,L,OD,06/28/2018,
UMBS,331,1241,POGR,29.6,L,OD,06/28/2018,
UMBS,331,1242,POGR,17.1,D,UN,06/28/2018,
UMBS,331,1243,POGR,23.3,L,OD,06/28/2018,
UMBS,331,1244,QURU,45.9,L,OD,06/28/2018,
UMBS,331,1245,ACRU,9.7,L,OS,06/28/2018,
UMBS,331,1246,ACRU,8.3,L,OS,06/28/2018,Shared base with 1247 & 1248
UMBS,331,1247,ACRU,13.9,L,OS,06/28/2018,Shared base with 1246 & 1248
UMBS,331,1248,ACRU,9.1,L,OS,06/28/2018,Shared base with 1246 & 1247
UMBS,331,1249,POGR,24.2,M,OD,06/28/2018,
UMBS,331,1250,ACRU,14.5,L,OS,06/28/2018,
UMBS,331,1251,POGR,24.4,L,OD,06/28/2018,
UMBS,331,1252,PIST,39.6,L,OD,06/28/2018,
UMBS,331,1253,POGR,25.4,L,OD,06/28/2018,
UMBS,331,1254,PIST,9.3,D,UN,06/28/2018,
UMBS,331,1255,PIST,15.2,L,OS,06/28/2018,
UMBS,331,1256,PIST,14.1,L,OS,06/28/2018,
UMBS,331,1257,PIST,14.9,L,OS,06/28/2018,
UMBS,331,1258,PIST,9.3,D,OS,06/28/2018,3 inches above DBH
UMBS,331,1259,PIST,8.9,D,UN,06/28/2018,
UMBS,331,1260,PIST,25.8,L,OD,06/28/2018,
UMBS,331,1261,PIST,29.2,L,OD,06/28/2018,
UMBS,331,1262,PIST,14.1,D,UN,06/28/2018,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
UMBS,,,,,,,,
