Site,Subplot,Tag,Species,DBH_cm,Health_status,Canopy_status,Date,Notes
UMBS,131,2378,POGR,34.2,L,OD,07/11/2018,
UMBS,131,2379,FAGR,21.3,L,OS,07/11/2018,
UMBS,130,2380,FAGR,13.4,L,OS,07/11/2018,2375 - 2380 share base
UMBS,131,2381,ACPE,8.7,L,UN,07/11/2018,
UMBS,131,2382,POGR,32,D,OS,07/11/2018,
UMBS,131,2383,FAGR,13.3,D,SA,07/11/2018,
UMBS,131,2384,POGR,23,D,UN,07/11/2018,
UMBS,131,2385,POGR,33.7,D,OD,07/11/2018,
UMBS,131,2386,POGR,37.3,L,OD,07/11/2018,
UMBS,131,2387,ACPE,7.1,L,UN,07/11/2018,In SE veg plot
UMBS,131,2388,ACPE,1.7,L,SA,07/11/2018,In SE veg plot
UMBS,131,2389,FAGR,16.3,L,OS,07/11/2018,2389 - 2391 share base
UMBS,131,2390,FAGR,19.6,L,OS,07/11/2018,2389 - 2391 share base
UMBS,131,2391,FAGR,23,L,OS,07/11/2018,2389 - 2391 share base
UMBS,131,2392,ACPE,9.4,L,OS,07/11/2018,
UMBS,131,2393,BEPA,9.1,L,OS,07/11/2018,
UMBS,131,2394,QURU,13.4,L,OS,07/11/2018,
UMBS,131,2395,POGR,31.4,L,OD,07/11/2018,
UMBS,131,2396,POGR,48.7,L,OD,07/11/2018,
UMBS,131,2397,POGR,31.2,D,OS,07/11/2018,
UMBS,130,2398,QURU,10,L,OS,07/11/2018,2398 - 2399 share base
UMBS,130,2399,QURU,8,L,UN,07/11/2018,2398 - 2399 share base
UMBS,131,2400,POGR,37.8,L,OD,07/11/2018,
UMBS,131,2401,POGR,30.3,L,OD,07/11/2018,
UMBS,131,2402,POGR,42.6,L,OD,07/11/2018,
UMBS,131,2403,QURU,8.8,L,UN,07/11/2018,
UMBS,131,2404,POGR,28.8,D,OD,07/11/2018,
UMBS,131,2405,?,13.7,D,UN,07/11/2018,
UMBS,131,2406,POGR,20.6,D,UN,07/11/2018,
UMBS,131,2407,FAGR,20.4,D,OS,07/11/2018,
UMBS,131,2408,POGR,36,L,OD,07/11/2018,
UMBS,131,2409,POGR,27.8,L,OD,07/11/2018,
UMBS,131,2410,ACSA,8.7,L,UN,07/11/2018,
UMBS,131,2411,POGR,32.8,L,OD,07/11/2018,
UMBS,131,2412,FAGR,16.1,D,OS,07/11/2018,2412 & 2413 share base
UMBS,131,2413,FAGR,24.1,L,OS,07/11/2018,2412 & 2413 share base
UMBS,131,2414,ACSA,31.4,L,OS,07/11/2018,2414 & 2415 share base
UMBS,131,2415,ACSA,28.8,L,OS,07/11/2018,2414 & 2415 share base
UMBS,131,2416,FAGR,11.3,L,UN,07/11/2018,
UMBS,131,2417,BEPA,14.6,L,OS,07/11/2018,
UMBS,131,2418,POGR,28.4,L,OD,07/11/2018,
