Site,Subplot,Tag,Species,DBH_cm,Health_status,Canopy_status,Date,Notes
UMBS,431,384,POGR,37,D,OD,6/25/2018,
UMBS,431,385,PIST,8.5,L,UN,6/25/2018,
UMBS,431,386,POGR,24,L,OD,6/25/2018,
UMBS,431,387,FAGR,8.2,L,UN,6/25/2018,
UMBS,431,388,FAGR,13.5,L,UN,6/25/2018,"In a cluster with 389 and 390, Veg plot NW"
UMBS,431,389,FAGR,7,L,UN,6/25/2018,"cluster with 388 and 390, Veg plot NW"
UMBS,431,390,FAGR,3.7,L,UN,6/25/2018,"Cluster with 388 and 389, Veg plot NW"
UMBS,431,391,QURU,25.4,L,OD,6/25/2018,
UMBS,431,392,POGR,38,L,OD,6/25/2018,
UMBS,431,393,FAGR,9.4,L,UN,6/25/2018,taken a little lower than dbh
UMBS,431,394,ACRU,10.2,L,OS,6/25/2018,In a cluster
UMBS,431,395,FAGR,9,L,UN,6/25/2018,
UMBS,430,396,FAGR,8.9,L,UN,6/25/2018,"In a new plot, new plot number is 430"
UMBS,431,397,QURU,31.7,L,OD,6/25/2018,
UMBS,431,398,PIRE,16.1,L,OS,6/25/2018,
UMBS,431,399,ACRU,11.3,L,OS,6/25/2018,in a cluster
UMBS,431,400,POGR,35.1,L,OD,6/25/2018,
UMBS,431,401,ACRU,10.2,L,OS,6/25/2018,in a cluster with 402
UMBS,431,402,ACRU,13.1,L,OS,6/25/2018,in a cluster with 401
UMBS,431,403,POGR,30.4,L,OD,6/25/2018,
UMBS,431,404,QURU,29,L,OD,6/25/2018,
UMBS,431,405,FAGR,8.9,L,UN,6/25/2018,
UMBS,429,406,POGR,19.1,D,UN,6/25/2018,"In  new plot, new plot is 429"
UMBS,429,407,POGR,17.5,D,UN,6/25/2018,"In a new plot, new plot is 429"
UMBS,431,408,ACRU,10.7,L,OS,6/25/2018,
UMBS,431,409,POGR,21.4,D,UN,6/25/2018,
UMBS,431,410,ACRU,8.9,L,UN,6/25/2018,
UMBS,431,411,POGR,23.2,D,OS,6/25/2018,
UMBS,431,412,PIRE,8.3,D,UN,6/25/2018,
UMBS,431,413,ACRU,9.4,D,UN,6/25/2018,
UMBS,431,414,QURU,17.1,L,OS,6/25/2018,
UMBS,431,415,PIRE,8.8,L,UN,6/25/2018,
UMBS,431,416,QURU,31.7,L,OD,6/25/2018,in a cluster with 417and 418
UMBS,431,417,QURU,33.7,L,OD,6/25/2018,in  cluster with 416 and 418
UMBS,431,418,QURU,26.5,L,OD,6/25/2018,in a cluster with 416 and 417
UMBS,431,419,QURU,16.8,L,OS,6/25/2018,in a cluster with 420
UMBS,431,420,QURU,13.7,L,OS,6/25/2018,in a cluster with 419
UMBS,431,421,QURU,27,L,OD,6/25/2018,in a cluster with 422
UMBS,431,422,QURU,15.6,D,OS,6/25/2018,in  cluster with 421
UMBS,431,423,POGR,34.4,L,OD,6/25/2018,
UMBS,431,424,PIRE,9.7,L,UN,6/25/2018,
UMBS,431,425,PIRE,9.8,L,UN,6/25/2018,
UMBS,431,426,QURU,30.7,L,OD,6/25/2018,"Was marked 18.14 m radius, outside of plot"
UMBS,431,427,BEPA,14.1,D,UN,6/25/2018,
UMBS,431,428,BEPA,9.4,D,UN,6/25/2018,
UMBS,431,429,POGR,35.3,L,OD,6/25/2018,
UMBS,431,430,POGR,26.2,L,OD,6/25/2018,
UMBS,431,431,POGR,22,D,OS,6/25/2018,
UMBS,431,432,POGR,28.4,L,OD,6/25/2018,
UMBS,431,433,PIST,8,L,OS,6/25/2018,
UMBS,431,434,POGR,18.8,D,UN,6/25/2018,
