Site,Subplot,Tag,Species,DBH_cm,Health_status,Canopy_status,Date,Notes,
UMBS,142,2674,ACRU,33.4,L,OD,07/12/2018,joined at base, 2674_75
UMBS,142,2675,ACRU,42.6,L,OD,07/12/2018,,
UMBS,142,2676,snag,20.1,D,UN,07/12/2018,,
UMBS,142,2677,ACSA,11.4,L,OS,07/12/2018,joined at base, 2677-78
UMBS,142,2678,ACSA,8.3,D,OS,07/12/2018,,
UMBS,142,2679,FAGR,9,L,UN,07/12/2018,,
UMBS,142,2680,POGR,49.6,D,OD,07/12/2018,,
UMBS,142,2681,ACSA,10.4,L,OS,07/12/2018,,
UMBS,142,2682,ACSA,18.5,L,OS,07/12/2018,,
UMBS,142,2683,FAGR,14.6,L,OS,07/12/2018,,
UMBS,142,2684,ACPE,1.8,L,SA,07/12/2018,NE Veg plot ,
UMBS,142,2685,POGR,44.3,L,OD,07/12/2018,,
UMBS,142,2686,ACPE,24.4,L,OD,07/12/2018,Joined at base 2686-2687,
UMBS,142,2687,ACPE,26.2,L,OD,07/12/2018,,
UMBS,142,2688,FAGR,12.8,L,UN,07/12/2018,joined at base 2688-2689,
UMBS,142,2689,FAGR,16.9,L,OS,07/12/2018,,
UMBS,142,2690,FAGR,10.6,L,UN,07/12/2018,,
UMBS,142,2691,FAGR,9.6,D,UN,07/12/2018,Joined at base 2691-2693,
UMBS,142,2692,FAGR,9.1,L,OS,07/12/2018,,
UMBS,142,2693,FAGR,14.7,L,OS,07/12/2018,,
UMBS,142,2694,ACSA,28.2,L,OD,07/12/2018,,
UMBS,142,2695,POGR,41.4,L,OD,07/12/2018,,
UMBS,142,2696,FAGR,22.6,L,OD,07/12/2018,,
UMBS,142,2697,POGR,39.4,L,OD,07/12/2018,,
UMBS,142,2698,ACSA,23.2,L,OD,07/12/2018,,
UMBS,142,2699,FAGR,21,D,OS,07/12/2018,Joined at base 2699-2700,
UMBS,142,2700,FAGR,22.5,D,UN,07/12/2018,,
UMBS,142,2701,POGR,37.7,L,OD,07/12/2018,,
UMBS,142,2702,POGR,35.3,L,OD,07/12/2018,Joined at base 2702-2703,
UMBS,142,2703,POGR,36.4,L,OD,07/12/2018,,
UMBS,142,2704,AMEL,10.1,L,OS,07/12/2018,,
UMBS,142,2705,POGR,32.1,L,OD,07/12/2018,,
UMBS,142,2706,ACSA,13.5,L,OS,07/12/2018,,
UMBS,142,2707,POGR,42.1,L,OD,07/12/2018,,
UMBS,142,2708,FAGR,13.2,L,OS,07/12/2018,,
UMBS,142,2709,FAGR,8.1,L,UN,07/12/2018,shares base with smaller trees,
UMBS,142,2710,POGR,35,L,OD,07/12/2018,,
UMBS,142,2711,POGR,41.1,L,OD,07/12/2018,,
UMBS,144,2712,POGR,37.2,L,OD,07/12/2018,,
UMBS,142,2713,FAGR,16.5,L,OS,07/12/2018,,
UMBS,142,2714,POGR ,48.1,L,OD,07/12/2018,,
UMBS,142,2715,ACSA,11,L,OS,07/12/2018,Joined at base 2715-2716,
UMBS,142,2716,ACSA,16.5,L,OS,07/12/2018,,
UMBS,142,2717,FAGR,12.5,L,OS,07/12/2018,Above dbh,
UMBS,142,2718,FAGR,8.9,L,UN,07/12/2018,Smaller trees at base,
UMBS,142,2719,POGR,39.8,L,OD,07/12/2018,,
UMBS,142,2720,POGR ,30.1,L,OD,07/12/2018,,
UMBS,142,2721,POGR ,36.2,L,OD,07/12/2018,,
UMBS,142,2722,POGR ,39.5,L,OD,07/12/2018,,
UMBS,142,2723,FAGR ,12,L,OS,07/12/2018,,
UMBS,142,2724,FAGR,11,L,OS,07/12/2018,,
UMBS,142,2725,POGR ,50.3,L,OD,07/12/2018,,
UMBS,142,2726,ACSA,22.5,L,OS,07/12/2018,Joined at base 2727-2727,
UMBS,142,2727,ACSA ,28.1,L,OS,07/12/2018,,
UMBS,142,2728,ACSA,13.2,L,OS,07/12/2018,Smaller tree at base,
UMBS,142,2729,POGR ,34.6,L,OD,07/12/2018,,
UMBS,142,2730,ACSA,12.4,L,OS,07/12/2018,Smaller tree at base,
UMBS,142,2731,POGR ,44.7,L,OD,07/12/2018,,
UMBS,142,2732,POGR ,50.2,L,OD,07/12/2018,,
UMBS,143,2733,ACPE,1.6,L,SA,07/12/2018,in SW veg plot,
UMBS,143,2734,POGR,41,L,OD,07/12/2018,,
UMBS,143,2735,ACSA,10.2,L,OS,07/12/2018,Shares base with smaller tree,
UMBS,143,2736,POGR,35.9,L,OD,07/12/2018,,
UMBS,143,2737,POGR,48.1,L,OD,07/12/2018,,
UMBS,143,2738,FAGR,11.5,L,OS,07/12/2018,,
UMBS,143,2739,FAGR,14.5,L,OS,07/12/2018,,
UMBS,143,2740,POGR,46,D,OD,07/12/2018,,
UMBS,143,2741,FAGR,19.3,L,OS,07/12/2018,Shares base with smaller trees,
UMBS,143,2742,ACSA,13,L,OS,07/12/2018,,
UMBS,143,2743,POGR,37.5,L,OD,07/12/2018,,
UMBS,143,2744,POGR,43,L,OD,07/12/2018,,
UMBS,143,2745,ACSA,23.5,L,OS,07/12/2018,,
UMBS,145,2746,POGR,38.4,L,OD,07/12/2018,,
UMBS,143,2747,FAGR,9.9,D,UN,07/12/2018,,
UMBS,143,2748,POGR,44.3,L,OD,07/12/2018,,
UMBS,143,2749,POGR,35.7,L,OD,07/12/2018,,
UMBS,143,2750,ACSA,30.3,L,OS,07/12/2018,,
UMBS,143,2751,POGR,33.1,D,UN,07/12/2018,,
UMBS,143,2752,ACSA,13.9,L,OS,07/12/2018,2752 - 2753 share base,
UMBS,143,2753,ACSA,24.2,L,OS,07/12/2018,2752 - 2753 share base,
UMBS,143,2754,POGR,54.8,D,UN,07/12/2018,,
UMBS,143,2755,POGR,47.2,D,UN,07/12/2018,,
UMBS,143,2756,POGR,44.9,D,OD,07/12/2018,,
UMBS,143,2757,ACSA,15,L,OS,07/12/2018,2771 & 2757 share base,
UMBS,143,2758,POGR,34.2,D,UN,07/12/2018,,
UMBS,143,2759,POGR,44.7,D,UN,07/12/2018,,
UMBS,143,2760,FAGR,11.3,L,OS,07/12/2018,,
UMBS,143,2761,POGR,42.7,L,OD,07/12/2018,,
UMBS,143,2762,FAGR,15.4,L,UN,07/12/2018,,
UMBS,143,2763,ACSA,18.8,L,OS,07/12/2018,,
UMBS,145,2764,POGR,52,D,OS,07/12/2018,Taken slightly above DBH,
UMBS,143,2765,POGR,39.1,D,OD,07/12/2018,,
UMBS,143,2766,POGR,46.5,D,OS,07/12/2018,2766 - 2767 share base,
UMBS,143,2767,POGR,31.9,D,OS,07/12/2018,2766 - 2767 share base,
UMBS,143,2768,POGR,49,D,OD,07/12/2018,,
UMBS,143,2769,ACSA,8.4,L,OS,07/12/2018,2769 - 2770 share base,
UMBS,143,2770,ACSA,8.5,L,UN,07/12/2018,,
UMBS,143,2771,ACSA,8.1,L,UN,07/12/2018,2771 & 2757 share base,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
UMBS,,,,,,,,,
