"","group","Species","ba.area","biomass.area"
"1","A","ACPE",1566.91645986771,12.9018096307701
"2","A","ACRU",36938.2338103413,21892.4812076558
"3","A","ACSA",57517.3700053691,35328.6021173909
"4","A","AMEL",80.1184666481737,52.1152842207826
"5","A","BEPA",232.454294420743,76.6729616211224
"6","A","FAGR",35056.0585276859,20770.4483748331
"7","A","POGR",203360.970895589,130812.179261565
"8","A","QURU",3496.78897298629,2701.96468221739
"9","B","ACPE",50.2654824574367,0.381299743206219
"10","B","ACRU",96237.6801024408,43566.3173357235
"11","B","ACSA",514.098075815068,250.684009565758
"12","B","BEPA",9985.35589989431,7141.87275675964
"13","B","FAGR",13495.3631239706,7956.24243528212
"14","B","POGR",169803.577727371,107821.875879739
"15","B","QURU",18934.9758257899,17075.5496795146
"16","B","PIST",103.868907109313,21.8960640724371
"17","B","TSCA",184.670670159642,51.3749032052308
"18","C","ACPE",237.582944427728,1.84499277829245
"19","C","ACRU",27393.9810809559,8798.06178676178
"20","C","BEPA",3128.95559714073,1308.24536995687
"21","C","FAGR",6420.70067160885,3405.20360321285
"22","C","POGR",107687.764307163,62141.7225046406
"23","C","QURU",96317.5315337135,68275.3323388371
"24","C","PIST",25819.4619668665,10262.9755123126
"25","C","TSCA",130.069789840251,36.6476938371581
"26","C","PIRE",7931.86956983861,3333.73523473322
"27","D","ACRU",15556.6327498255,4507.28736496399
"28","D","BEPA",81.7128249198705,21.962400309086
"29","D","FAGR",1809.54951448609,906.061399557951
"30","D","POGR",42929.0153812881,23998.0140038922
"31","D","QURU",120783.14770846,90133.5952883188
"32","D","PIST",16590.7979274975,4408.86465579458
"33","D","PIRE",1840.58059592192,579.745531243658
"34","D","POTR",301.718558450764,144.660212256252
