"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","fate","plot.side"
"26","FAGR",312,"767","UMBS",12.4,"L","OS","06/26/2018","767-769 share base","C01E","C","C01",45.5623711,-84.7075075,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.41241166056141,"Fagus","live","E"
"27","ACRU",312,"811","UMBS",10.6,"L","OS","06/26/2018","","C01E","C","C01",45.5626393,-84.7075945,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.41475052678069,"Acer","live","E"
"28","TSCA",312,"786","UMBS",8.1,"L","UN","06/26/2018","","C01E","C","C01",45.5624962,-84.7076184,"FL",0.0454,1.6829,0.28,"New Brunswick","ker 1980a",1.53442367646061,"Tsuga","live","E"
"29","ACRU",312,"747","UMBS",11.3,"L","UN","06/26/2018","747-748 share base","C01E","C","C01",45.5624941,-84.7074663,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.56116797847633,"Acer","live","E"
"30","QURU",312,"762","UMBS",11.2,"L","OS","06/26/2018","","C01E","C","C01",45.5623763,-84.707453,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.61381393186887,"Quercus","live","E"
"31","ACRU",312,"771","UMBS",11.7,"L","OS","06/26/2018","","C01E","C","C01",45.5623877,-84.7075317,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.64708138497441,"Acer","live","E"
"32","BEPA",312,"766","UMBS",12,"L","OS","06/26/2018","765-766 share base","C01E","C","C01",45.562452,-84.7074826,"FL",0.0132,1.9505,NA,"Upper Great Lakes","Perala and Alban, 1994",1.68080353047877,"Betula","live","E"
"33","ACRU",312,"815","UMBS",12,"L","OS","06/26/2018","","C01E","C","C01",45.5626351,-84.7075174,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.71256849655241,"Acer","live","E"
"34","ACRU",312,"795","UMBS",12.4,"L","OS","06/26/2018","","C01E","C","C01",45.5625092,-84.7076788,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.80126755715205,"Acer","live","E"
"35","QURU",312,"734","UMBS",12.1,"L","UN","06/26/2018","reading taken above DBH","C01E","C","C01",45.5625822,-84.707308,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.80590105281565,"Quercus","live","E"
"36","QURU",312,"750","UMBS",12.2,"L","OD","06/26/2018","749-750 share base","C01E","C","C01",45.5624745,-84.7074415,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",1.82765740764398,"Quercus","live","E"
"37","FAGR",312,"769","UMBS",15.4,"L","OS","06/26/2018","767-769 share base","C01E","C","C01",45.562367,-84.7075114,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",2.01080961036002,"Fagus","live","E"
"38","QURU",312,"739","UMBS",13.1,"L","OS","06/26/2018","","C01E","C","C01",45.5625616,-84.7073871,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",2.02708039121258,"Quercus","live","E"
"39","ACRU",312,"809","UMBS",13.4,"L","OS","06/26/2018","","C01E","C","C01",45.5625812,-84.7075512,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.02978585305094,"Acer","live","E"
"40","ACRU",312,"748","UMBS",14.1,"L","OS","06/26/2018","747-748 share base","C01E","C","C01",45.5624876,-84.7074641,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.19536262005056,"Acer","live","E"
"41","ACRU",312,"798","UMBS",14.2,"L","OS","06/26/2018","797-798 share base","C01E","C","C01",45.5625617,-84.7076815,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.21938620442652,"Acer","live","E"
"42","ACRU",312,"743","UMBS",15.1,"L","OS","06/26/2018","","C01E","C","C01",45.5625586,-84.7072752,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.43968261043033,"Acer","live","E"
