"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area"
"14","ACRU",211,"1651","UMBS",12.2,"L","OS","07/03/2018","","B01W","B","B01",45.5566893,-84.7271588,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.75672172051558,"Acer",19,33.377712689796
"15","ACRU",221,"1770","UMBS",17,"L","OS","07/05/2018","","B02W","B","B02",45.5558399,-84.7269354,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.92819618671585,"Acer",19,55.6357275476012
"16","ACRU",211,"1602","UMBS",20.2,"L","OD","07/03/2018","","B01W","B","B01",45.5564911,-84.7270807,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.81900248315768,"Acer",19,72.5610471799959
"17","ACRU",221,"1771","UMBS",11.8,"D","OS","07/05/2018","reading taken below DBH, 1771-1772 share base","B02W","B","B02",45.5557512,-84.7269541,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.66881088206259,"Acer",19,31.7074067591893
"18","ACRU",311,"851","UMBS",8.6,"L","OS","06/27/2018","Shared base with 850","C01W","C","C01",45.5624239,-84.7082364,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.02526574324182,"Acer",19,19.4800491215946
"19","ACRU",112,"2816","UMBS",32.7,"L","OD","7/12/2018","2815 - 2816 share base","A01E","A","A01",45.563544,-84.7282142,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",8.01885519271139,"Acer",19,152.358248661516
"20","ACRU",212,"1733","UMBS",8.7,"L","OS","07/04/2018","","B01E","B","B01",45.5567651,-84.7267187,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.04368269073493,"Acer",19,19.8299711239636
"21","ACRU",222,"1897","UMBS",14.4,"L","OS","07/05/2018","1896-1897 share base","B02E","B","B02",45.555811,-84.726575,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.26770767350101,"Acer",19,43.0864457965191
"22","ACRU",211,"1653","UMBS",27.1,"L","OD","07/03/2018","","B01W","B","B01",45.5567965,-84.7271313,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",6.00456485191008,"Acer",19,114.086732186292
"23","ACRU",121,"3074","UMBS",16.6,"L","OS","07/13/2018","3073-3074 share base","A02W","A","A02",45.5642847,-84.7281456,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.8227686625248,"Acer",19,53.6326045879712
"24","ACRU",141,"2623","UMBS",19.9,"L","OS","07/12/2018","2622 - 2623 share base","A04W","A","A04",45.5636303,-84.7266664,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.73200802958362,"Acer",19,70.9081525620888
"25","ACRU",141,"2624","UMBS",31,"L","OD","07/12/2018","2624 - 2627 share base","A04W","A","A04",45.5635802,-84.7266316,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",7.38594110533725,"Acer",19,140.332881001408
