"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","fate","plot.side"
"1","PIST",412,"689","UMBS",1.5,"L","UN","06/26/2018","","D01E","D","D01",45.5608435,-84.7068088,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.00814746352240879,"Pinus","live","E"
"2","PIST",412,"701","UMBS",8,"L","UN","06/26/2018","labeled as outside plot bc tripod is not exactly at center","D01E","D","D01",45.5609441,-84.7069487,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.170600034002338,"Pinus","live","E"
"3","PIST",412,"659","UMBS",8.2,"L","OS","06/26/2018","","D01E","D","D01",45.5608903,-84.7065297,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.178428562573929,"Pinus","live","E"
"4","PIST",412,"672","UMBS",8.4,"L","OS","06/26/2018","","D01E","D","D01",45.5610446,-84.706806,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.186414662877526,"Pinus","live","E"
"5","PIST",412,"674","UMBS",8.5,"L","OS","06/26/2018","","D01E","D","D01",45.5607888,-84.7066701,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.190466584971676,"Pinus","live","E"
"6","ACRU",412,"649","UMBS",2.9,"L","UN","06/26/2018","647-649 share base, veg plot","D01E","D","D01",45.5609609,-84.7066547,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.192221405560638,"Acer","live","E"
"7","PIST",412,"713","UMBS",8.9,"L","OS","06/26/2018","","D01E","D","D01",45.5610345,-84.7067945,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.207064786584888,"Pinus","live","E"
"8","PIST",412,"666","UMBS",9.1,"L","UN","06/26/2018","","D01E","D","D01",45.5608307,-84.7065789,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.215597051360661,"Pinus","live","E"
"9","PIST",412,"706","UMBS",10.1,"L","OS","06/26/2018","","D01E","D","D01",45.5609916,-84.7068241,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.260565278295031,"Pinus","live","E"
"10","PIST",412,"660","UMBS",10.6,"L","OS","06/26/2018","","D01E","D","D01",45.5608953,-84.7065896,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.284475824103641,"Pinus","live","E"
"11","PIST",412,"694","UMBS",11.3,"L","OS","06/26/2018","","D01E","D","D01",45.5608368,-84.7069131,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.319527424484366,"Pinus","live","E"
"12","PIST",412,"646","UMBS",13,"L","OS","06/26/2018","","D01E","D","D01",45.5609471,-84.7066611,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.412192113529867,"Pinus","live","E"
"13","ACRU",412,"648","UMBS",5.8,"L","UN","06/26/2018","647-649 share base, veg plot","D01E","D","D01",45.5609607,-84.7066595,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.558969281851699,"Acer","live","E"
"14","FAGR",412,"667","UMBS",7.1,"L","UN","06/26/2018","667-668 share base, SW veg plot","D01E","D","D01",45.5608455,-84.7066694,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.569065696479698,"Fagus","live","E"
"15","PIST",412,"700","UMBS",15.7,"L","OS","06/26/2018","","D01E","D","D01",45.5609392,-84.7068561,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.580783507821507,"Pinus","live","E"
"16","ACRU",412,"647","UMBS",7.3,"L","UN","06/26/2018","647-649 share base, veg plot","D01E","D","D01",45.560975,-84.7066593,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.796573833760687,"Acer","live","E"
"17","FAGR",412,"668","UMBS",9,"L","UN","06/26/2018","667-668 share base, SW veg plot","D01E","D","D01",45.5608471,-84.7066781,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.83764014666654,"Fagus","live","E"
"18","ACRU",412,"711","UMBS",8.6,"L","OS","06/26/2018","","D01E","D","D01",45.5610347,-84.7068177,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.02526574324182,"Acer","live","E"
"19","ACRU",412,"663","UMBS",8.7,"L","OS","06/26/2018","662-663 share base","D01E","D","D01",45.5608983,-84.706631,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.04368269073493,"Acer","live","E"
"20","ACRU",412,"642","UMBS",9,"L","OS","06/26/2018","","D01E","D","D01",45.5609162,-84.7067368,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.09961915460115,"Acer","live","E"
"21","ACRU",412,"682","UMBS",9,"D","UN","06/26/2018","share base w live <8.0 ACRU","D01E","D","D01",45.5607937,-84.7067653,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.09961915460115,"Acer","live","E"
"22","POGR",412,"683","UMBS",14.5,"D","UN","06/26/2018","","D01E","D","D01",45.5608185,-84.7067303,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",1.18433883232742,"Populus","live","E"
"23","FAGR",412,"655","UMBS",11.4,"L","UN","06/26/2018","","D01E","D","D01",45.5609478,-84.7065167,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",1.2314815231072,"Fagus","live","E"
"24","ACRU",412,"678","UMBS",10,"L","OS","06/26/2018","share base w/ <8.0","D01E","D","D01",45.5607562,-84.7067292,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.29332845218794,"Acer","live","E"
"25","ACRU",412,"662","UMBS",10.2,"L","OS","06/26/2018","662-663 share base","D01E","D","D01",45.5609012,-84.7066311,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.33337742001258,"Acer","live","E"
"26","ACRU",412,"670","UMBS",10.2,"L","OS","06/26/2018","670-671 share base","D01E","D","D01",45.5608261,-84.706682,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.33337742001258,"Acer","live","E"
"27","ACRU",412,"644","UMBS",10.7,"M","OS","06/26/2018","","D01E","D","D01",45.5609814,-84.7067509,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.43535672838668,"Acer","live","E"
"28","ACRU",412,"650","UMBS",10.7,"L","OS","06/26/2018","clustered w <8.0","D01E","D","D01",45.561005,-84.7065686,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.43535672838668,"Acer","live","E"
"29","ACRU",412,"671","UMBS",11.1,"L","OS","06/26/2018","670-671 share base","D01E","D","D01",45.5608231,-84.7066885,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.518819691525,"Acer","live","E"
"30","ACRU",412,"692","UMBS",11.7,"L","OS","06/26/2018","","D01E","D","D01",45.5608262,-84.7068651,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.64708138497441,"Acer","live","E"
"31","QURU",412,"712","UMBS",14.2,"D","OS","06/26/2018","712 + 669 share base","D01E","D","D01",45.5610393,-84.7067934,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",2.27940123085298,"Quercus","live","E"
"32","QURU",412,"681","UMBS",14.2,"L","OS","06/26/2018","","D01E","D","D01",45.5607991,-84.7067361,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",2.27940123085298,"Quercus","live","E"
