"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area","fate","plot.side"
"1","FAGR",212,"1663","UMBS",0.8,"L","SA","07/04/2018","REDACT, under minimum DBH, NE veg plot","B01E","B","B01",45.5567368,-84.7264616,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.016194350208756,"Fagus",35,0.566802257306459,"live","E"
"2","FAGR",212,"1741","UMBS",2.4,"L","UN","07/04/2018","NW veg plot","B01E","B","B01",45.5567444,-84.7266787,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.0970988996479095,"Fagus",35,3.39846148767683,"live","E"
"3","ACPE",212,"1742","UMBS",2.7,"L","UN","07/04/2018","NW veg plot","B01E","B","B01",45.5567376,-84.7266561,"FL",0.0049,2.094,NA,"","basswood",0.0392167682887448,"Acer",19,0.745118597486151,"live","E"
"4","QURU",212,"1680","UMBS",2.7,"L","UN","07/04/2018","SE veg plot","B01E","B","B01",45.5566124,-84.7265221,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",0.203645826550334,"Quercus",14.2,2.89177073701475,"live","E"
"5","QURU",212,"1744","UMBS",7.8,"L","OS","07/04/2018","REDACT, under minimum DBH","B01E","B","B01",45.5567529,-84.7266253,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",0.95332039505676,"Quercus",14.2,13.537149609806,"live","E"
"6","ACRU",212,"1722","UMBS",7.9,"L","OS","07/04/2018","REDACT, under minimum DBH","B01E","B","B01",45.5567443,-84.7267182,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.899610575897398,"Acer",19,17.0926009420506,"live","E"
"7","TSCA",212,"1703","UMBS",8,"L","UN","07/04/2018","","B01E","B","B01",45.5566028,-84.7266353,"FL",0.0454,1.6829,0.28,"New Brunswick","ker 1980a",1.50267822078833,"Tsuga",5.84,8.77564080940384,"live","E"
"8","ACRU",212,"1720","UMBS",8.4,"L","OS","07/04/2018","","B01E","B","B01",45.5567189,-84.7267059,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.988778312842163,"Acer",19,18.7867879440011,"live","E"
"9","FAGR",212,"1686","UMBS",8.5,"L","UN","07/04/2018","","B01E","B","B01",45.5566548,-84.7264823,"FL",0.0233,1.6303,0.341,"New Brunswick","ker 1980a",0.763110792312719,"Fagus",35,26.7088777309452,"live","E"
"10","ACRU",212,"1733","UMBS",8.7,"L","OS","07/04/2018","","B01E","B","B01",45.5567651,-84.7267187,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.04368269073493,"Acer",19,19.8299711239636,"live","E"
