"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area","fate","plot.side"
"22","PIST",412,"646","UMBS",13,"L","OS","06/26/2018","","D01E","D","D01",45.5609471,-84.7066611,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.412192113529867,"Pinus",12.5,5.15240141912333,"live","E"
"23","QURU",412,"681","UMBS",14.2,"L","OS","06/26/2018","","D01E","D","D01",45.5607991,-84.7067361,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",2.27940123085298,"Quercus",14.2,32.3674974781123,"live","E"
"24","ACRU",412,"643","UMBS",14.8,"L","OD","06/26/2018","","D01E","D","D01",45.5609583,-84.7066939,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.36543965678065,"Acer",19,44.9433534788323,"live","E"
"25","ACRU",412,"652","UMBS",15.3,"L","OS","06/26/2018","","D01E","D","D01",45.5609255,-84.706644,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.48962327388348,"Acer",19,47.3028422037861,"live","E"
"26","PIST",412,"700","UMBS",15.7,"L","OS","06/26/2018","","D01E","D","D01",45.5609392,-84.7068561,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.580783507821507,"Pinus",12.5,7.25979384776883,"live","E"
"27","QURU",412,"656","UMBS",17.5,"M","OS","06/26/2018","","D01E","D","D01",45.5609288,-84.7065195,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",3.08931076823341,"Quercus",14.2,43.8682129089144,"live","E"
"28","QURU",412,"699","UMBS",17.7,"L","OD","06/26/2018","","D01E","D","D01",45.5609093,-84.7068097,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",3.14081488106487,"Quercus",14.2,44.5995713111211,"live","E"
"29","QURU",412,"675","UMBS",19.2,"L","OS","06/26/2018","","D01E","D","D01",45.5607705,-84.7066671,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",3.53544857955877,"Quercus",14.2,50.2033698297345,"live","E"
"30","ACRU",412,"710","UMBS",20.5,"L","OD","06/26/2018","","D01E","D","D01",45.5610327,-84.7068639,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.90669743901205,"Acer",19,74.2272513412289,"live","E"
"31","QURU",412,"684","UMBS",21.2,"L","OD","06/26/2018","","D01E","D","D01",45.5608339,-84.7067379,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.08375721735682,"Quercus",14.2,57.9893524864668,"live","E"
"32","QURU",412,"658","UMBS",21.4,"L","OD","06/26/2018","","D01E","D","D01",45.5609396,-84.7065313,"FL",0.048,1.455,0.426,"Upper Great Lakes","Perala and Alban, 1994",4.13993266609299,"Quercus",14.2,58.7870438585204,"live","E"
