0,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.262,48
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.287,52
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.312,52
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.237,58
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.262,58
,
,
,
0.212,55
,
,
0.238,65
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.263,65
,
,
,
,
0.288,64
,
,
,
,
,
,
,
,
,
,
,
0.242,70
,
,
,
,
0.265,67
0.216,69
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
0.267,70
,
,
,
,
,
,
0.269,73
,
0.268,71
1.567,71
1.541,70
0.245,75
0.293,72
1.544,74
,
0.272,77
,
,
1.569,75
1.517,72
1.569,75
1.524,81
,
,
,
1.518,73
1.52,76
1.52,76
1.494,74
1.518,73
1.519,74
0.268,71
1.52,76
0.323,78
,
1.518,73
1.519,75
1.469,75
1.52,76
1.519,75
,
1.524,81
1.52,76
,
,
,
,
1.519,75
1.52,76
1.542,71
1.519,74
1.472,78
1.519,75
1.52,76
1.496,77
1.519,75
1.496,77
1.521,79
1.496,79
1.533,83
1.52,76
1.519,75
1.519,75
1.519,75
1.52,76
1.522,78
1.52,76
1.542,72
1.522,78
1.52,76
1.495,76
1.522,78
1.495,76
1.521,77
,
1.571,79
1.519,75
1.495,76
1.52,76
1.519,75
1.522,78
1.521,77
,
1.521,77
1.52,76
,
1.519,75
0.268,72
1.519,74
1.521,77
1.495,76
1.495,76
1.472,78
1.522,78
1.497,78
1.496,77
1.495,80
1.519,75
1.522,78
1.474,81
1.497,78
1.52,76
1.494,74
1.521,77
1.472,78
1.519,75
1.497,78
1.495,76
1.497,78
1.471,79
1.519,74
1.495,76
1.521,79
1.52,76
1.517,72
1.522,78
1.494,75
1.494,74
1.517,72
1.495,76
1.522,78
1.497,78
1.519,74
1.546,79
1.493,73
1.546,79
1.522,78
1.52,76
1.519,75
1.518,73
1.519,75
1.518,73
1.521,77
1.519,75
1.52,76
1.521,79
1.521,77
1.521,77
1.521,77
1.533,83
1.519,75
1.52,80
1.544,75
1.521,77
1.47,76
1.493,73
1.519,75
1.519,75
0.27,74
1.518,73
,
1.518,73
0.322,79
1.518,73
1.52,76
1.52,76
1.494,74
1.494,75
1.518,73
1.519,75
0.295,74
1.494,75
1.521,79
1.494,75
,
,
1.521,77
1.519,74
1.519,74
1.517,72
,
1.52,76
1.544,75
1.472,78
,
1.522,78
1.545,76
0.294,73
,
1.52,76
1.544,75
1.492,71
,
,
1.519,75
,
1.494,74
0.245,75
1.522,78
1.544,75
0.247,77
1.518,73
1.521,79
1.521,79
1.517,71
1.519,75
,
0.272,77
1.519,74
1.52,76
0.27,74
,
1.519,75
1.52,76
,
1.495,76
,
0.222,77
1.519,75
1.517,72
1.522,78
1.492,72
1.519,74
,
1.494,74
1.517,72
1.519,75
1.544,74
1.493,73
1.494,75
,
,
1.519,74
1.517,71
1.519,74
,
,
1.544,74
0.242,70
,
0.245,74
,
0.268,72
0.24,68
1.517,72
,
1.517,71
1.494,74
0.267,70
,
1.493,73
0.242,70
0.219,73
1.519,75
,
1.493,73
0.244,73
1.52,76
,
,
0.243,71
,
,
1.516,70
0.217,70
,
0.268,71
0.243,71
0.243,71
,
,
1.49,69
1.517,72
,
,
0.267,70
,
,
,
1.49,69
1.491,70
1.516,70
0.24,67
0.268,72
1.517,72
1.497,78
0.269,73
,
,
0.241,69
0.242,70
,
1.518,73
1.516,70
,
1.569,74
0.243,71
,
,
,
0.243,72
0.264,66
,
1.516,70
0.266,69
,
,
,
0.217,70
0.239,66
0.216,69
1.516,70
,
,
1.492,71
0.267,70
,
,
0.241,69
1.519,74
,
1.515,69
1.494,74
1.517,72
,
,
,
1.516,70
,
,
1.492,72
,
,
1.514,68
,
1.518,73
,
1.516,70
1.517,71
