"","Site","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","dbh.class"
"1","UMBS","D01E",645,"QURU",35.9,"L","OD","33-38"
"2","UMBS","D01E",676,"POGR",33.4,"L","OD","33-38"
"3","UMBS","D01E",663,"ACRU",8.7,"L","OS","8-13"
"4","UMBS","D01E",711,"ACRU",8.6,"L","OS","8-13"
"5","UMBS","D01E",692,"ACRU",11.7,"L","OS","8-13"
"6","UMBS","D01E",678,"ACRU",10,"L","OS","8-13"
"7","UMBS","D01E",659,"PIST",8.2,"L","OS","8-13"
"8","UMBS","D01E",642,"ACRU",9,"L","OS","8-13"
"9","UMBS","D01E",681,"QURU",14.2,"L","OS","13-18"
"10","UMBS","D01E",699,"QURU",17.7,"L","OD","13-18"
"11","UMBS","D01E",700,"PIST",15.7,"L","OS","13-18"
"12","UMBS","D01E",705,"QURU",26.7,"L","OD","23-28"
"13","UMBS","D01E",704,"QURU",24.8,"L","OD","23-28"
"14","UMBS","D01E",702,"QURU",30.9,"L","OD","28-33"
"15","UMBS","D01E",697,"QURU",28.4,"L","OD","28-33"
"16","UMBS","D01E",690,"QURU",22.7,"L","OD","18-23"
"17","UMBS","D01E",680,"QURU",21.5,"L","OS","18-23"
"18","UMBS","D01W",618,"PIST",8.9,"L","UN","8-13"
"19","UMBS","D01W",585,"QURU",10.2,"M","UN","8-13"
"20","UMBS","D01W",613,"ACRU",12.4,"L","OS","8-13"
"21","UMBS","D01W",584,"PIST",9.1,"L","OS","8-13"
"22","UMBS","D01W",601,"ACRU",16.7,"L","OS","13-18"
"23","UMBS","D01W",602,"ACRU",16.6,"L","OS","13-18"
"24","UMBS","D01W",620,"PIST",14.8,"L","OS","13-18"
"25","UMBS","D01W",633,"BEPA",35.1,"D","UN","33-38"
"26","UMBS","D01W",593,"QURU",41.2,"L","OD","38-43"
"27","UMBS","D01W",628,"QURU",22.2,"L","OD","18-23"
"28","UMBS","D01W",598,"QURU",24.8,"L","OD","23-28"
"29","UMBS","D01W",621,"QURU",28.6,"L","OD","28-33"
"30","UMBS","D01W",604,"POGR",29.6,"D","OS","28-33"
"31","UMBS","D04E",145,"ACRU",10.9,"L","OD","8-13"
"32","UMBS","D04E",158,"ACRU",8.6,"D","OS","8-13"
"33","UMBS","D04E",186,"POGR",9,"D","UN","8-13"
"34","UMBS","D04E",185,"PIST",8.3,"L","UN","8-13"
"35","UMBS","D04E",184,"ACRU",11,"L","OS","8-13"
"36","UMBS","D04E",177,"PIST",11.2,"L","OS","8-13"
"37","UMBS","D04E",175,"PIST",10.4,"L","UN","8-13"
"38","UMBS","D04E",202,"PIST",9.4,"L","UN","8-13"
"39","UMBS","D04E",147,"ACRU",15.8,"L","OD","13-18"
"40","UMBS","D04E",196,"PIST",15.1,"L","OS","13-18"
"41","UMBS","D04E",204,"QURU",27.7,"L","OD","23-28"
"42","UMBS","D04E",200,"POGR",22.7,"L","OS","18-23"
"43","UMBS","D04E",194,"POGR",37.8,"D","OS","33-38"
"44","UMBS","D04E",191,"POGR",31.8,"L","OD","28-33"
"45","UMBS","D04W",83,"PIST",14.1,"L","OS","13-18"
"46","UMBS","D04W",109,"ACRU",14.5,"L","OS","13-18"
"47","UMBS","D04W",41,"POGR",17.8,"D","OD","13-18"
"48","UMBS","D04W",11,"PIST",13.1,"L","OS","13-18"
"49","UMBS","D04W",8,"ACRU",13.9,"L","OD","13-18"
"50","UMBS","D04W",38,"POGR",17.2,"D","OD","13-18"
"51","UMBS","D04W",140,"PIST",15.5,"L","OS","13-18"
"52","UMBS","D04W",64,"POGR",18.6,"L","OD","18-23"
"53","UMBS","D04W",24,"POGR",19.6,"L","OD","18-23"
"54","UMBS","D04W",21,"POGR",18.2,"L","OD","18-23"
"55","UMBS","D04W",52,"PIST",10.4,"L","OS","8-13"
"56","UMBS","D04W",3,"ACRU",11.7,"L","OD","8-13"
"57","UMBS","D04W",4,"ACRU",12.7,"L","OD","8-13"
"58","UMBS","D04W",129,"POGR",9.3,"L","OS","8-13"
"59","UMBS","D04W",50,"PIST",9.5,"L","OS","8-13"
"60","UMBS","D04W",143,"POGR",9.8,"L","OS","8-13"
"61","UMBS","D04W",42,"POGR",10.5,"L","OS","8-13"
"62","UMBS","D04W",73,"AMEL",10.9,"D","UN","8-13"
"63","UMBS","D04W",66,"POGR",23.1,"L","OD","23-28"
"64","UMBS","D04W",135,"POGR",24.1,"L","OD","23-28"
