"",".id","xbin","zbin","bin.hits","sky.hits","can.hits","lidar.pulses","Freq","hit.count","phi","dee","x.counter","sum.dee","fee","cvr","olai","vai"
"1","1",1,0,0,0,472,476,1,0,1,0,1,5.46383180502561,0,0,7.25631486550343,0
"2","1",1,1,0,0,472,476,1,0,1,0,1,5.46383180502561,0,0,7.25631486550343,0
"3","1",1,2,0,0,472,476,1,0,1,0,1,5.46383180502561,0,0,7.25631486550343,0
"4","1",1,3,0,0,472,476,1,0,1,0,1,5.46383180502561,0,0,7.25631486550343,0
"5","1",1,4,0,0,472,476,1,0,1,0,1,5.46383180502561,0,0,7.25631486550343,0
"6","1",1,5,0,0,472,476,1,0,1,0,1,5.46383180502561,0,0,7.25631486550343,0
"7","1",1,6,0,0,472,476,1,0,1,0,1,5.46383180502561,0,0,7.25631486550343,0
"8","1",1,7,0,0,472,476,1,0,1,0,1,5.46383180502561,0,0,7.25631486550343,0
"9","1",1,8,0,0,472,476,1,0,1,0,1,5.46383180502561,0,0,7.25631486550343,0
"10","1",1,9,0,0,472,476,1,0,1,0,1,5.46383180502561,0,0,7.25631486550343,0
"11","1",1,10,15,4,472,476,1,15,0.968220338983051,0.0322955946913506,1,5.46383180502561,0.00591079591096587,0.0317796610169492,7.25631486550343,0.230603226657948
"12","1",1,11,145,4,472,476,1,160,0.661016949152542,0.381680203084722,1,5.46383180502561,0.0698557746110805,0.307203389830508,7.25631486550343,2.22916452436016
"13","1",1,12,0,0,472,476,1,160,0.661016949152542,0,1,5.46383180502561,0,0,7.25631486550343,0
"14","1",1,13,2,4,472,476,1,162,0.656779661016949,0.00643089033029033,1,5.46383180502561,0.00117699273326372,0.00423728813559322,7.25631486550343,0.0307470968877264
"15","1",1,14,3,4,472,476,1,165,0.650423728813559,0.00972454989199478,1,5.46383180502561,0.00177980403478932,0.00635593220338983,7.25631486550343,0.0461206453315896
"16","1",1,15,0,0,472,476,1,165,0.650423728813559,0,1,5.46383180502561,0,0,7.25631486550343,0
"17","1",1,16,0,0,472,476,1,165,0.650423728813559,0,1,5.46383180502561,0,0,7.25631486550343,0
"18","1",1,17,0,0,472,476,1,165,0.650423728813559,0,1,5.46383180502561,0,0,7.25631486550343,0
"19","1",1,18,1,4,472,476,1,166,0.648305084745763,0.00326264563481637,1,5.46383180502561,0.000597135078685146,0.00211864406779661,7.25631486550343,0.0153735484438632
"20","1",1,19,52,4,472,476,1,218,0.538135593220339,0.186250834933844,1,5.46383180502561,0.0340879517489048,0.110169491525424,7.25631486550343,0.799424519080886
"21","1",1,20,83,4,472,476,1,301,0.36228813559322,0.395670710515877,1,5.46383180502561,0.0724163416143119,0.175847457627119,7.25631486550343,1.27600452084065
"22","1",1,21,50,4,472,476,1,351,0.25635593220339,0.345873010905919,1,5.46383180502561,0.0633022800203671,0.105932203389831,7.25631486550343,0.76867742219316
"23","1",1,22,62,4,472,476,1,413,0.125,0.718253101691022,1,5.46383180502561,0.131455931903024,0.13135593220339,7.25631486550343,0.953160003519518
"24","1",1,23,6,4,472,476,1,419,0.11228813559322,0.107245530353598,1,5.46383180502561,0.0196282634935712,0.0127118644067797,7.25631486550343,0.0922412906631792
"25","1",1,24,42,4,472,476,1,461,0.0233050847457627,1.57239664075375,1,5.46383180502561,0.28778276800312,0.0889830508474576,7.25631486550343,0.645689034642254
"26","1",1,25,9,4,472,476,1,470,0.00423728813559322,1.70474809223843,1,5.46383180502561,0.312005960847917,0.0190677966101695,7.25631486550343,0.138361935994769
"27","1",1,26,2,4,472,476,1,472,0,0,1,5.46383180502561,0,0.00423728813559322,7.25631486550343,0.0307470968877264
"28","2",2,0,0,0,468,475,1,0,1,0,1,2.65196073445117,0,0,6.83571683932649,0
"29","2",2,1,0,0,468,475,1,0,1,0,1,2.65196073445117,0,0,6.83571683932649,0
"30","2",2,2,0,0,468,475,1,0,1,0,1,2.65196073445117,0,0,6.83571683932649,0
"31","2",2,3,0,0,468,475,1,0,1,0,1,2.65196073445117,0,0,6.83571683932649,0
"32","2",2,4,0,0,468,475,1,0,1,0,1,2.65196073445117,0,0,6.83571683932649,0
"33","2",2,5,0,0,468,475,1,0,1,0,1,2.65196073445117,0,0,6.83571683932649,0
"34","2",2,6,0,0,468,475,1,0,1,0,1,2.65196073445117,0,0,6.83571683932649,0
"35","2",2,7,33,7,468,475,1,33,0.92948717948718,0.0731222648289626,1,2.65196073445117,0.0275729062949703,0.0705128205128205,6.83571683932649,0.482005674567894
"36","2",2,8,11,7,468,475,1,44,0.905982905982906,0.0256125758567263,1,2.65196073445117,0.00965797702959841,0.0235042735042735,6.83571683932649,0.160668558189298
"37","2",2,9,44,7,468,475,1,88,0.811965811965812,0.109562202511526,1,2.65196073445117,0.0413136593948102,0.094017094017094,6.83571683932649,0.642674232757191
"38","2",2,10,175,7,468,475,1,263,0.438034188034188,0.617161273582023,1,2.65196073445117,0.232718857999889,0.373931623931624,6.83571683932649,2.5560906984661
"39","2",2,11,17,7,468,475,1,280,0.401709401709402,0.086568016308459,1,2.65196073445117,0.0326430233992038,0.0363247863247863,6.83571683932649,0.248305953565279
"40","2",2,12,1,7,468,475,1,281,0.39957264957265,0.0053333459753626,1,2.65196073445117,0.00201109537787571,0.00213675213675214,6.83571683932649,0.0146062325626634
"41","2",2,13,0,0,468,475,1,281,0.39957264957265,0,1,2.65196073445117,0,0,6.83571683932649,0
"42","2",2,14,0,0,468,475,1,281,0.39957264957265,0,1,2.65196073445117,0,0,6.83571683932649,0
