"","xbin","mean.ht","sd.ht","max.ht","max.vai","sum.vai","sd.vai","vai.z.sum","max.vai.z","height.bin"
"1",1,5.65792280701754,1.20218120470661,9.473,3.4338780071128,8,0.870377187688024,63.1424144283965,8,7.89280180354956
"2",2,6.65049647887324,1.27780217809643,9.968,3.10974440783526,8,0.886375319097021,71.8758624550161,10,8.98448280687702
"3",3,6.73209507042254,2.79805735387858,15.488,2.53588734037049,8,0.634307404454922,92.5669314030069,15,11.5708664253759
"4",4,8.56465263157895,2.22983437505522,17.417,2.98700125009658,8,0.810163607527453,98.8531208591384,10,12.3566401073923
"5",5,9.00856272401434,3.71538909658695,17.353,3.06047811805194,6.67088589794133,0.709606592946125,62.3931066332541,6,9.35304659498208
"6",6,9.63895167286245,6.11466035667612,17.665,1.50129852807251,5.31380663225666,0.416238047576517,52.9108961505556,6,9.95724907063197
"7",7,11.6648966942149,2.22770792130491,19.4,2.07475830685802,3.58636793042601,0.455512881497305,43.0364151651121,10,12
"8",8,9.58824295774648,1.19783108502581,12.269,4.76575288882047,8,1.06421727754489,93.5774234324938,12,11.6971779290617
"9",9,8.91417957746479,0.703923893255969,10.841,4.05088914232074,8,0.970554377343914,83.4594640138271,10,10.4324330017284
"10",10,8.14279225352113,1.42173533882014,14.739,4.12953746787443,8,0.90514156004339,88.2517336240953,11,11.0314667030119
"11",11,11.5715495207668,3.01031676472463,15.742,3.05733086288812,8,0.845815222427412,119.900998260349,16,14.9876247825437
"12",12,11.0901725239617,2.41058206523176,15.648,3.56900196420488,8,0.887184663833611,117.810027862093,16,14.7262534827617
"13",13,6.54839102564103,3.85013535916678,11.499,6.11805605747729,8,1.29661630093983,82.7702745161548,11,10.3462843145193
"14",14,3.16528115015974,1.96741432816018,12.176,3.20393488305659,8,0.779758687620493,62.9213459147268,12,7.86516823934086
"15",15,3.01619230769231,1.01080666023624,6.392,4.02404392890877,8,0.985454622558089,40.8045036432516,6,5.10056295540646
"16",16,6.66678594249201,3.40271475360735,15.167,1.92896100790841,8,0.619424727946252,95.9220480950944,15,11.9902560118868
"17",17,5.54465064102564,2.96935619540271,12.555,2.95188104686675,8,0.785309381056635,80.3173368241022,11,10.0396671030128
"18",18,7.31787539936102,3.39709266729569,16.071,2.89344151186261,8,0.680622582884332,98.8071021562601,14,12.3508877695325
"19",19,7.59854166666667,3.71500633585311,15.289,2.49452991453945,8,0.784016205112134,100.528453708829,15,12.5660567136036
"20",20,8.28091262135922,3.88447538061447,16.185,3.38714562577741,7.16868492030972,0.780112141248038,62.1402024564712,10,8.66828478964401
"21",21,14.0336101694915,3.74552226724132,21.028,1.8929966104891,5.77690344925122,0.496382621202627,83.6508674600614,10,14.4802259887006
"22",22,7.6504931880109,2.07776488499137,12.778,4.21593988005231,8,0.935444366291265,88.9002076707545,12,11.1125259588443
"23",23,7.66558310626703,2.85950294374522,16.431,2.63491243358666,8,0.658250803756088,103.122857921652,16,12.8903572402065
"24",24,6.72341961852861,4.41567899567418,17.551,3.87564075979819,8,0.889136315066346,111.179239194301,17,13.8974048992876
"25",25,7.41311363636364,4.25047671449219,16.726,3.7756061965325,5.6795443640147,0.811747557982294,44.339170205433,5,7.80681818181818
"26",26,12.9722428571429,5.55746816068308,16.852,0.699211713641858,1.64982539173921,0.169381630600957,22.3747748365394,17,13.5619047619048
"27",27,2.21236956521739,0.133272893412315,2.544,0.558823152072825,0.564964065831867,0.119086332127764,1.41855107833871,2,2.51086956521739
"40",28,0,0,0,0,0,0,0,0,0
"28",29,9.10194594594595,1.95155875803913,16.05,0.333841899818088,0.441148224759617,0.0733259992007741,4.26244568517738,10,9.66216216216216
"29",30,8.3385664556962,3.90813301003702,15.845,2.17871827634955,3.76215833511725,0.482580023977487,33.9784806595716,6,9.03164556962025
"30",31,8.65502834008097,3.44090464140262,15.234,2.13698766610653,6.35946931961822,0.5451276706931,59.204857086891,11,9.30971659919028
"31",32,3.44610317460317,4.0021315422838,15.527,4.11006199708226,7.61570311224065,0.952698247480935,28.5286656268063,1,3.74603174603175
"32",33,9.34978242677824,3.32949449230836,17.444,1.9021907497083,5.34851281388568,0.465711622546837,53.0039857727541,7,9.91004184100419
"33",34,14.5411185770751,2.78628004583534,17.991,5.05153908774101,8,1.08611023282362,139.603361783964,18,17.4504202229955
"34",35,16.8045445544554,2.39800100218135,18.36,2.02054173879832,3.09204114573683,0.432503432920056,53.3759775999224,18,17.2623762376238
"35",36,6.03285375494071,1.87866083212971,15.937,4.34242537577636,8,1.1364853653867,84.9353920294902,6,10.6169240036863
"36",37,6.62303174603175,1.76005440171494,11.159,3.17667799356955,8,0.844552283820426,77.1193750667771,10,9.63992188334714
"37",38,6.62499604743083,2.51947246698373,11.496,5.05153908774101,8,1.13074468351787,80.5586913908371,18,10.0698364238546
"38",39,11.406832,1.71247093481505,18.011,6.27036328878646,7.29112010324007,1.33191694570083,85.3352696883218,11,11.704
"39",40,8.87948412698413,3.37241494385432,17.263,2.32687457221337,8,0.706286567359582,106.518960609503,11,13.3148700761878
