0,0
0.216,95
0.312,94
0.279,98
0.546,91
0.242,86
0.24,80
0.174,74
0.19,68
2.552,67
0.147,73
2.477,70
0.328,77
,
0.163,85
,
2.644,88
2.664,87
0.217,86
0.18,83
0.155,78
0.247,73
0.168,70
2.536,74
0.146,72
2.479,71
0.113,64
,
,
0.168,70
0.166,69
0.153,77
2.594,83
0.192,86
2.612,87
0.271,91
0.315,90
0.246,91
0.216,95
0.241,95
0.375,97
,
,
0.241,95
,
3.215,84
0.292,86
0.184,84
,
0.13,78
0.24,80
0.327,76
0.23,78
2.568,78
,
0.19,80
0.177,76
0.195,81
0.19,80
,
0.177,76
0.177,76
0.16,79
0.227,76
0.153,77
0.165,80
0.28,78
0.22,81
0.195,81
,
0.175,75
0.165,80
0.155,78
0.23,78
0.225,75
0.165,80
0.127,76
,
0.23,78
0.18,78
0.153,77
0.155,78
0.155,78
0.145,81
0.155,83
0.28,83
0.13,78
0.22,81
2.568,78
,
0.23,78
0.195,81
0.178,77
0.227,76
0.165,80
0.16,79
2.651,89
0.302,92
0.266,95
0.266,95
3.8,92
0.458,93
3.783,99
3.734,99
3.704,98
3.716,95
0.415,90
2.479,71
2.548,46
8.901,60
8.928,80
9.005,86
9.039,97
2.786,67
2.764,70
2.653,50
2.626,42
2.6,41
2.653,46
2.601,50
3.631,78
3.742,86
3.728,88
3.74,90
3.728,88
3.685,89
3.668,86
3.458,83
2.768,73
2.556,70
2.551,66
2.556,70
2.563,75
2.606,69
2.577,63
2.556,70
2.552,67
2.579,68
2.606,69
2.583,71
2.58,69
2.562,74
2.556,70
2.472,63
2.446,66
2.342,56
2.212,56
2.185,57
2.185,57
2.237,52
2.29,59
2.343,65
2.265,66
2.16,63
2.082,65
2.03,60
2.03,60
2.003,55
2.056,65
2.057,67
2.082,60
2.056,60
2.03,65
2.082,61
2.134,61
2.134,63
2.167,71
2.19,69
2.188,67
2.163,68
2.188,67
2.186,65
2.186,66
2.186,64
2.188,67
2.247,72
2.244,70
2.328,74
2.345,68
2.346,69
2.348,70
2.398,69
2.404,73
2.407,74
2.375,71
2.375,71
2.377,72
2.56,73
2.666,74
2.392,79
2.314,79
2.272,81
1.726,80
1.351,72
1.32,69
1.295,69
1.318,67
1.318,67
1.329,75
1.317,66
1.318,67
1.317,64
1.295,69
1.292,64
1.292,63
1.316,53
1.735,74
2.198,74
2.157,79
1.457,75
1.276,73
1.317,66
1.322,70
1.293,67
1.218,68
1.268,68
1.219,69
1.218,68
1.218,68
1.217,67
1.114,55
1.218,32
2.771,74
2.775,77
2.808,79
2.608,70
2.636,81
1.097,81
1.039,66
1.089,65
1.067,69
1.07,71
1.07,71
1.044,70
1.039,66
0.962,57
0.937,56
2.192,70
0.887,55
1.116,23
1.07,28
1.094,29
1.07,28
1.046,26
10.207,106
10.175,98
10.15,98
10.125,98
10.157,106
1.01,42
0.961,46
0.911,47
1.012,56
0.963,60
