0.108,42
0.133,44
0.159,48
0.133,43
0.133,45
0.158,45
0.158,45
0.158,45
0.133,44
0.159,48
0.134,46
0.108,45
0.159,47
0.134,47
0.133,44
0.108,43
0.109,50
0.133,43
0.159,47
0.133,43
0.108,43
0.133,45
0.158,45
0.158,42
0.158,44
0.133,45
0.133,44
0.134,50
0.159,48
0.158,43
0.159,46
0.134,49
0.133,45
0.133,45
0.159,50
0.158,44
0.133,45
0.134,49
0.158,44
0.159,46
0.159,49
0.184,49
0.159,52
0.133,45
0.158,42
0.159,47
0.133,45
0.108,44
0.159,46
0.134,47
0.158,43
0.159,46
0.184,52
0.134,46
0.133,43
0.159,48
0.133,40
0.133,43
0.158,45
0.133,44
0.133,43
0.133,42
0.158,40
0.158,41
0.158,45
0.158,42
0.133,40
0.158,44
0.133,41
0.133,41
0.158,42
0.158,43
0.108,41
0.159,48
0.159,48
0.133,43
0.158,42
0.133,40
0.159,46
0.158,44
0.159,46
0.158,43
0.158,42
0.133,42
0.158,41
0.158,41
0.158,40
0.133,41
0.133,43
0.158,43
0.158,39
0.158,43
0.158,40
0.158,38
0.235,36
0.160,36
0.135,36
0.163,32

0.216,25
10.247,88
10.310,95
11.723,93
11.887,109
11.904,120
10.384,107
10.362,108
10.362,108
10.330,106
10.394,103
10.273,98
10.178,99
10.198,98
10.187,108
8.358,110
8.386,104
8.419,106
8.423,107
8.430,109
8.389,105
8.389,105
8.375,101
8.295,85
8.287,83
8.259,88
8.310,88
8.266,89
8.328,91
8.291,84
8.316,84
8.320,85
8.316,84
8.304,87
8.299,86
8.312,83
8.310,88
8.329,87
8.297,90
8.266,89
8.353,91
8.334,92
8.357,97
8.404,102
8.473,107
8.494,106
8.480,109
8.379,109
10.203,84
8.499,95
8.458,97
8.424,95
8.312,78
8.349,86
8.362,83
8.332,82
8.341,84
8.304,87
8.310,88
8.287,83
8.347,80
8.404,96
8.446,100
6.592,95
6.551,97
6.541,90
6.572,96
6.626,103
6.648,109
6.669,108
6.637,106
6.684,105
6.630,104
6.637,106
6.684,105
6.626,103
6.626,103
6.626,103
6.644,108
6.630,104
6.666,107
6.692,107
6.644,108
6.666,107
6.681,104
6.651,103
6.655,98
6.622,91
8.322,80
8.335,77
8.357,82
8.370,85
8.354,87
8.353,91
8.328,91
8.372,90
8.334,92
8.378,91
8.399,95
8.399,95
8.534,103
8.574,107
8.541,105
8.527,101
8.398,90
8.354,87
8.392,84
8.377,81
8.342,79
8.396,100
8.300,101
11.701,106
11.631,114
10.362,108
10.290,102
10.360,114
11.662,109
10.340,102
10.194,97
10.215,96
10.215,102
10.223,98
10.206,94
10.430,119
11.828,113
11.824,99
11.599,99
11.705,107
10.385,114
10.290,96
10.278,89
10.228,99
10.298,104
10.278,89
10.360,95
10.385,95
10.440,102
10.619,110
10.459,107
10.340,102
10.252,93
10.306,94
10.234,90
10.246,92
10.437,101
10.398,98
10.344,97
10.341,109
10.094,103
10.151,105
10.157,100
10.127,93
10.090,91
10.065,96
10.065,96
10.009,90
9.986,86
9.991,87
10.045,97
10.002,93
10.021,92
10.010,86
9.737,81
9.263,82
9.178,90
9.215,92
9.281,86
9.594,77
9.954,79
10.054,79
10.046,76
10.044,82
10.014,72
9.990,73
10.018,75
9.993,75
9.993,82
10.018,82
9.998,83
10.028,79
10.013,81
10.049,83
10.065,96
10.123,98
10.127,93
9.848,78
10.157,85
10.206,94
10.189,115
9.937,101
9.336,87
9.172,89
9.175,94
9.163,97
9.137,82
9.240,92
10.087,101
10.152,93
10.115,96
10.128,99
10.153,99
10.140,91
10.140,96
10.194,97
10.219,97
10.222,88
10.248,98
10.178,89
10.221,92
10.234,90
10.323,98
10.398,104
11.597,105
11.574,112
10.470,110
10.378,99
10.296,92
10.282,100
10.257,100
10.273,98
10.235,95
10.228,99
10.240,91
10.297,88
10.327,93
10.211,86
10.066,87
11.544,98
11.523,118
