,plot,subplot,nsp,filename,mean.height,height.2,mean.height.var,mean.height.rms,transect.length,mode.el,max.el,mode.2,max.can.ht,mean.max.ht,mean.vai,mean.peak.vai,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,plot_1,mean.return.ht,sd.return.ht,sky.fraction,cover.fraction,max.ht,scan.density,rumple,clumping.index,enl
16,d,3,w,FORTE-1_CW_D3SN.CSV,9.013079669,4.359459749,19.00488931,9.98826172,40,8.025,8,5.126539794,20.046,13.301725,6.829267062,3.352791629,0,0,0.678571429,283.9537629,11.17175252,12.61529661,5.693065701,FORTE-1_CW_D3SN.CSV,6.264515527,4.589599643,4.597197898,95.4028021,20.046,514.025,5.275,0.931566245,16.62864964
17,c,3,e,FORTE-2_45E_C3EW.CSV,8.803659769,5.110210103,26.11424729,10.14720732,40,7.775,6.68761457,6.423065408,24.505,15.262825,6.940027869,3.520589097,0,0,0.730769231,1006.993754,21.73823536,23.11802062,7.236148618,FORTE-2_45E_C3EW.CSV,5.545615446,5.555634895,5.395809371,94.60419063,24.505,500.05,5.55,0.864383715,17.03607127
18,c,3,e,FORTE-2_45E_C3NS.CSV,10.2744683,4.749885686,22.56141403,11.29433829,40,9.625,7.472505043,6.032763112,26.355,16.5935,6.654539464,2.984614014,0,0,0.715740741,543.2433376,16.88798509,16.06360162,6.087867594,FORTE-2_45E_C3NS.CSV,8.180105098,5.629686157,6.633077337,93.36692266,26.355,511.2,4.9,0.942972783,21.50330824
19,c,3,w,FORTE-2_45W_C3EW.CSV,11.76052175,6.738154286,45.40272318,13.51212518,40,11.7,7.291269282,8.023043735,28.359,17.645175,6.345938511,2.838042737,0,0,0.715517241,571.2105554,16.32881534,17.45223037,8.357154082,FORTE-2_45W_C3EW.CSV,8.691409678,6.867723086,8.552696931,91.44730307,28.359,503.475,6.8,0.949838694,24.02912621
20,c,3,w,FORTE-2_45W_C3NS.CSV,14.10719067,5.892982399,34.72724156,15.26014054,40,13.225,5.952304111,7.842970068,28.053,21.10945,5.618844951,2.363836505,0,0,0.694827586,1466.354942,29.5994592,24.29458699,7.375002668,FORTE-2_45W_C3NS.CSV,10.94369574,7.621101709,12.8040408,87.1959592,28.053,509.925,5.675,0.923937874,22.80961048
21,c,4,e,FORTE-2_65E_C4EW.CSV,8.275614859,3.985251332,15.88222818,9.163567742,40,7.425,5.465760539,5.755209457,21.987,14.419,6.309214862,2.534356687,0,0,0.685869565,603.6726739,16.70901777,18.01336723,5.945833262,FORTE-2_65E_C4EW.CSV,5.190504401,4.215371651,10.291315,89.708685,21.987,551.075,6.45,0.874415842,16.46382811
22,c,4,e,FORTE-2_65E_C4NS.CSV,9.009769701,4.130733399,17.06295841,9.890011856,40,8.45,7.23870241,6.164206023,21.356,14.93385,7.56339801,3.351792627,0,0,0.672727273,589.8791959,18.62903376,15.58326978,5.022377793,FORTE-2_65E_C4NS.CSV,5.451015556,4.631226321,0.796015041,99.20398496,21.356,512.05,5.15,0.887272715,16.5689173
23,c,4,w,FORTE-2_65W_C4EW.CSV,8.43197421,4.154453584,17.25948458,9.376896424,40,7.05,7.734194601,4.163024049,24.017,12.7002,7.505188211,3.758603203,0,0,0.747,271.8928353,11.63958677,11.67959139,6.155904892,FORTE-2_65W_C4EW.CSV,5.145074078,3.893582986,1.712295162,98.28770484,24.017,509.675,5.725,0.853262333,14.92399161
24,c,4,w,FORTE-2_65W_C4NS.CSV,10.04434469,4.19938053,17.63479683,10.86659041,40,10.075,8,5.88517259,24.588,16.06805,7.057252444,3.154737192,0,0,0.698076923,511.3447336,16.56642553,15.39150021,5.423982286,FORTE-2_65W_C4NS.CSV,6.243334646,4.777496936,4.714031459,95.28596854,24.588,519.85,5.95,0.912832267,19.1970405
25,c,2,e,FORTE-2_CE_C2EW.CSV,10.22761105,4.807755041,23.11450853,11.27566733,40,9.975,6.602655683,5.868156134,20.5,14.174175,6.186717078,3.038176987,1,0.025,0.714285714,176.2032567,9.734637442,9.024416357,5.075165264,FORTE-2_CE_C2EW.CSV,7.836568701,4.790566444,12.60049553,87.39950447,20.5,494.55,4.25,0.952469898,17.45454545
26,c,2,e,FORTE-2_CE_C2NS.CSV,8.245237555,3.500592993,12.2541513,8.940455238,40,7.95,8,4.044305905,18.296,11.389825,6.137447304,3.201986664,0,0,0.721052632,191.0423665,9.532632809,10.00856025,5.010094794,FORTE-2_CE_C2NS.CSV,5.248874446,3.977081058,14.07886934,85.92113066,18.296,506.025,4.775,0.892021307,13.61114476
27,c,2,w,FORTE-2_CW_C2EW.CSV,10.23720484,4.843843397,23.46281886,11.29940757,40,10.5,7.298392862,6.084869845,22.039,14.49205,6.282299865,2.909006259,1,0.025,0.690217391,198.0645624,10.39459216,9.487729775,5.206705607,FORTE-2_CW_C2EW.CSV,7.434163197,4.507627058,14.20690945,85.79309055,22.039,534.9,4.925,0.934211509,18.19148936
28,c,2,w,FORTE-2_CW_C2NS.CSV,9.882244889,4.345411974,18.88260522,10.7735465,40,9.675,5.629246895,4.916677531,23.097,13.724,7.090884975,3.228062034,0,0,0.714583333,137.0790486,8.443867887,8.110495895,6.015430521,FORTE-2_CW_C2NS.CSV,7.359741714,4.641351716,2.349524815,97.65047518,23.097,473.625,4.425,0.933866209,18.61080813
29,a,1,e,forteA01E.CSV,7.543624661,5.366922202,28.80385392,9.219003775,40,5.9,6.11987398,7.146094504,31.35,18.390475,6.654813307,3.043260135,0,0,0.775,2577.754301,32.54959522,38.96508888,10.33494529,forteA01E.CSV,5.250080661,6.647533676,3.266942746,96.73305725,31.35,380.45,10.75,0.762510654,18.37483385
30,a,1,e,forteA01E2.CSV,13.473744,6.151771286,37.84428995,14.77971447,40,11.175,6.214566307,8.631746711,30.902,23.1598,7.028782437,3.001183237,0,0,0.715625,3928.285016,44.96254648,43.66525426,7.455458682,forteA01E2.CSV,11.25387602,8.780840743,3.311171088,96.68882891,30.902,379.9,4.925,0.931709556,25.09393939
31,a,1,w,forteA01W.CSV,9.691017011,5.285410491,27.93556406,11.0069517,40,9.725,8,7.092746385,27.782,14.6427,7.748527396,3.683138296,0,0,0.757758621,697.996967,17.73579549,19.58158639,8.03708983,forteA01W.CSV,6.145814764,5.122307906,0.477164281,99.52283572,27.782,330.2,7.05,0.918199855,20.36652051
