"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","SubplotID"
"1","UMBS",142,2674,"ACRU",33.4,"L","OD","07/12/2018","joined at base"," 2674_75","A04E"
"2","UMBS",142,2675,"ACRU",42.6,"L","OD","07/12/2018","","","A04E"
"3","UMBS",142,2676,"snag",20.1,"D","UN","07/12/2018","","","A04E"
"4","UMBS",142,2677,"ACSA",11.4,"L","OS","07/12/2018","joined at base"," 2677-78","A04E"
"5","UMBS",142,2678,"ACSA",8.3,"D","OS","07/12/2018","","","A04E"
"6","UMBS",142,2679,"FAGR",9,"L","UN","07/12/2018","","","A04E"
"7","UMBS",142,2680,"POGR",49.6,"D","OD","07/12/2018","","","A04E"
"8","UMBS",142,2681,"ACSA",10.4,"L","OS","07/12/2018","","","A04E"
"9","UMBS",142,2682,"ACSA",18.5,"L","OS","07/12/2018","","","A04E"
"10","UMBS",142,2683,"FAGR",14.6,"L","OS","07/12/2018","","","A04E"
"11","UMBS",142,2684,"ACPE",1.8,"L","SA","07/12/2018","NE Veg plot ","","A04E"
"12","UMBS",142,2685,"POGR",44.3,"L","OD","07/12/2018","","","A04E"
"13","UMBS",142,2686,"ACPE",24.4,"L","OD","07/12/2018","Joined at base 2686-2687","","A04E"
"14","UMBS",142,2687,"ACPE",26.2,"L","OD","07/12/2018","","","A04E"
"15","UMBS",142,2688,"FAGR",12.8,"L","UN","07/12/2018","joined at base 2688-2689","","A04E"
"16","UMBS",142,2689,"FAGR",16.9,"L","OS","07/12/2018","","","A04E"
"17","UMBS",142,2690,"FAGR",10.6,"L","UN","07/12/2018","","","A04E"
"18","UMBS",142,2691,"FAGR",9.6,"D","UN","07/12/2018","Joined at base 2691-2693","","A04E"
"19","UMBS",142,2692,"FAGR",9.1,"L","OS","07/12/2018","","","A04E"
"20","UMBS",142,2693,"FAGR",14.7,"L","OS","07/12/2018","","","A04E"
"21","UMBS",142,2694,"ACSA",28.2,"L","OD","07/12/2018","","","A04E"
"22","UMBS",142,2695,"POGR",41.4,"L","OD","07/12/2018","","","A04E"
"23","UMBS",142,2696,"FAGR",22.6,"L","OD","07/12/2018","","","A04E"
"24","UMBS",142,2697,"POGR",39.4,"L","OD","07/12/2018","","","A04E"
"25","UMBS",142,2698,"ACSA",23.2,"L","OD","07/12/2018","","","A04E"
"26","UMBS",142,2699,"FAGR",21,"D","OS","07/12/2018","Joined at base 2699-2700","","A04E"
"27","UMBS",142,2700,"FAGR",22.5,"D","UN","07/12/2018","","","A04E"
"28","UMBS",142,2701,"POGR",37.7,"L","OD","07/12/2018","","","A04E"
"29","UMBS",142,2702,"POGR",35.3,"L","OD","07/12/2018","Joined at base 2702-2703","","A04E"
"30","UMBS",142,2703,"POGR",36.4,"L","OD","07/12/2018","","","A04E"
"31","UMBS",142,2704,"AMEL",10.1,"L","OS","07/12/2018","","","A04E"
"32","UMBS",142,2705,"POGR",32.1,"L","OD","07/12/2018","","","A04E"
"33","UMBS",142,2706,"ACSA",13.5,"L","OS","07/12/2018","","","A04E"
"34","UMBS",142,2707,"POGR",42.1,"L","OD","07/12/2018","","","A04E"
"35","UMBS",142,2708,"FAGR",13.2,"L","OS","07/12/2018","","","A04E"
"36","UMBS",142,2709,"FAGR",8.1,"L","UN","07/12/2018","shares base with smaller trees","","A04E"
"37","UMBS",142,2710,"POGR",35,"L","OD","07/12/2018","","","A04E"
"38","UMBS",142,2711,"POGR",41.1,"L","OD","07/12/2018","","","A04E"
"39","UMBS",144,2712,"POGR",37.2,"L","OD","07/12/2018","","","A04E"
"40","UMBS",142,2713,"FAGR",16.5,"L","OS","07/12/2018","","","A04E"
"41","UMBS",142,2714,"POGR ",48.1,"L","OD","07/12/2018","","","A04E"
"42","UMBS",142,2715,"ACSA",11,"L","OS","07/12/2018","Joined at base 2715-2716","","A04E"
"43","UMBS",142,2716,"ACSA",16.5,"L","OS","07/12/2018","","","A04E"
"44","UMBS",142,2717,"FAGR",12.5,"L","OS","07/12/2018","Above dbh","","A04E"
"45","UMBS",142,2718,"FAGR",8.9,"L","UN","07/12/2018","Smaller trees at base","","A04E"
"46","UMBS",142,2719,"POGR",39.8,"L","OD","07/12/2018","","","A04E"
"47","UMBS",142,2720,"POGR ",30.1,"L","OD","07/12/2018","","","A04E"
