"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","SubplotID"
"30","UMBS",241,2175,"unknown",7.7,"D","UN","07/06/2018","REDACT, under minimum DBH","B04W"
"31","UMBS",239,2176,"QURU",9.4,"L","OS","07/06/2018","in new plot 239","B04W"
"32","UMBS",241,2177,"POGR",28.2,"L","OD","07/06/2018","","B04W"
"33","UMBS",241,2178,"ACPE",8,"L","OS","07/06/2018","","B04W"
"34","UMBS",241,2179,"POGR",39.8,"L","OD","07/06/2018","","B04W"
"35","UMBS",241,2180,"QURU",16.8,"D","UN","07/06/2018","","B04W"
"36","UMBS",241,2181,"ACRU",20.5,"L","OS","07/06/2018","2181-2182 share base","B04W"
"37","UMBS",241,2182,"ACRU",14.4,"L","OS","07/06/2018","2181-2182 share base","B04W"
"38","UMBS",241,2183,"ACRU",24.4,"L","OS","07/06/2018","","B04W"
"39","UMBS",241,2184,"ACRU",15.2,"L","OS","07/06/2018","2184-2186 share base","B04W"
"40","UMBS",241,2185,"ACRU",32.5,"L","OS","07/06/2018","2184-2186 share base","B04W"
"41","UMBS",241,2186,"ACRU",18.4,"L","OS","07/06/2018","2184-2186 share base","B04W"
"42","UMBS",241,2187,"POGR",40,"L","OD","07/06/2018","","B04W"
"43","UMBS",241,2188,"POGR",38.1,"L","OD","07/06/2018","","B04W"
"44","UMBS",241,2189,"ACRU",18.6,"L","OS","07/06/2018","2189-2190 share base","B04W"
"45","UMBS",241,2190,"ACRU",12.7,"L","OS","07/06/2018","2189-2190 share base","B04W"
"46","UMBS",241,2191,"POGR",37.6,"L","OD","07/06/2018","","B04W"
"47","UMBS",241,2192,"ACRU",18.9,"L","OS","07/06/2018","","B04W"
"48","UMBS",241,2193,"ACRU",14.1,"L","OS","07/06/2018","2193 + 2195 share base","B04W"
"49","UMBS",241,2194,"ACRU",19.2,"L","OS","07/06/2018","2194 + 2196 share base","B04W"
"50","UMBS",241,2195,"ACRU",8.5,"L","UN","07/06/2018","2193 + 2195 share base","B04W"
"51","UMBS",241,2196,"ACRU",15.9,"L","OS","07/06/2018","2194 + 2196 share base","B04W"
"52","UMBS",241,2197,"ACRU",13.9,"L","OS","07/06/2018","2197-2198 share base","B04W"
"53","UMBS",241,2198,"ACRU",13.1,"L","OS","07/06/2018","","B04W"
"54","UMBS",241,2199,"unknown",10.4,"D","UN","07/06/2018","","B04W"
"55","UMBS",241,2200,"ACRU",8.9,"L","UN","07/06/2018","","B04W"
"56","UMBS",241,2201,"ACRU",15.9,"L","OS","07/06/2018","","B04W"
"57","UMBS",241,2202,"ACRU",13.1,"L","OS","07/06/2018","","B04W"
"58","UMBS",241,2203,"ACRU",8.2,"D","UN","07/06/2018","2203-2205 share base","B04W"
"59","UMBS",241,2204,"ACRU",19,"L","OS","07/06/2018","2203-2205 share base","B04W"
"60","UMBS",241,2205,"ACRU",22.4,"L","OS","07/06/2018","2203-2205 share base","B04W"
"61","UMBS",241,2206,"FAGR",1.4,"L","SA","07/06/2018","SW veg plot","B04W"
"62","UMBS",241,2207,"POGR",34.1,"L","OD","07/06/2018","","B04W"
"63","UMBS",241,2208,"ACRU",8.4,"D","OS","07/06/2018","2208-2209 share base","B04W"
"64","UMBS",241,2209,"ACRU",13.7,"L","OS","07/06/2018","2208-2209 share base","B04W"
"65","UMBS",241,2210,"ACRU",18,"L","OS","07/06/2018","2210-2211 share base","B04W"
"66","UMBS",241,2211,"ACRU",32.3,"L","OS","07/06/2018","2210-2211 share base","B04W"
