"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","SubplotID"
"1","UMBS",212,1654,"QURU",8.7,"L","OS","07/04/2018","","B01E"
"2","UMBS",212,1655,"QURU",21.1,"L","OD","07/04/2018","","B01E"
"3","UMBS",212,1656,"QURU",8.9,"L","OS","07/04/2018","","B01E"
"4","UMBS",212,1657,"FAGR",9.6,"L","UN","07/04/2018","reading taken above DBH","B01E"
"5","UMBS",212,1658,"ACRU",18.8,"L","OD","07/04/2018","","B01E"
"6","UMBS",212,1659,"ACRU",10,"D","UN","07/04/2018","1659-1660 share base","B01E"
"7","UMBS",212,1660,"ACRU",13.2,"L","OS","07/04/2018","1659-1660 share base","B01E"
"8","UMBS",212,1661,"ACRU",13.7,"L","OS","07/04/2018","1661-1662 share base","B01E"
"9","UMBS",212,1662,"ACRU",22.3,"L","OS","07/04/2018","1661-1662 share base","B01E"
"10","UMBS",212,1663,"FAGR",0.8,"L","SA","07/04/2018","REDACT, under minimum DBH, NE veg plot","B01E"
"11","UMBS",212,1664,"POGR",40.4,"L","OD","07/04/2018","","B01E"
"12","UMBS",212,1665,"ACRU",27.4,"L","OD","07/04/2018","1665-1668 share base","B01E"
"13","UMBS",212,1666,"ACRU",20.2,"L","OS","07/04/2018","1665-1668 share base","B01E"
"14","UMBS",212,1667,"ACRU",18.2,"L","OD","07/04/2018","1665-1668 share base","B01E"
"15","UMBS",212,1668,"ACRU",25.1,"L","OD","07/04/2018","1665-1668 share base","B01E"
"16","UMBS",212,1669,"POGR",26.1,"L","OD","07/04/2018","","B01E"
"17","UMBS",212,1670,"ACRU",9.7,"L","OS","07/04/2018","1670-1672 share base","B01E"
"18","UMBS",212,1671,"ACRU",12.9,"L","OS","07/04/2018","1670-1672 share base","B01E"
"19","UMBS",212,1672,"ACRU",25.8,"L","OD","07/04/2018","1670-1672 share base","B01E"
"20","UMBS",212,1673,"FAGR",19.8,"L","OS","07/04/2018","1673-1674 share base","B01E"
"21","UMBS",212,1674,"FAGR",13,"L","OS","07/04/2018","1673-1674 share base","B01E"
"22","UMBS",212,1675,"POGR",36.4,"L","OD","07/04/2018","","B01E"
"23","UMBS",212,1676,"ACRU",24.4,"L","OS","07/04/2018","","B01E"
"24","UMBS",212,1677,"ACRU",10.3,"L","OS","07/04/2018","1677-1679 share base","B01E"
"25","UMBS",212,1678,"ACRU",12.7,"L","OS","07/04/2018","1677-1679 share base","B01E"
"26","UMBS",212,1679,"ACRU",16.1,"D","UN","07/04/2018","1677-1679 share base","B01E"
"27","UMBS",212,1680,"QURU",2.7,"L","UN","07/04/2018","SE veg plot","B01E"
"28","UMBS",212,1681,"QURU",62.2,"L","OD","07/04/2018","stem is too wide for calipers--recorded DBH is under true DBH. DBH taken manually as 64.8","B01E"
"29","UMBS",212,1682,"ACRU",15,"L","OS","07/04/2018","1682-1683 share base","B01E"
"30","UMBS",212,1683,"ACRU",15.7,"L","OS","07/04/2018","1682-1683 share base","B01E"
"31","UMBS",212,1684,"ACRU",18.6,"L","OS","07/04/2018","1684-1685 share base","B01E"
"32","UMBS",212,1685,"ACRU",27.2,"L","OS","07/04/2018","1684-1685 share base","B01E"
"33","UMBS",212,1686,"FAGR",8.5,"L","UN","07/04/2018","","B01E"
