"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes"
"65","UMBS",412,705,"QURU",26.7,"L","OD","06/26/2018","704-705 share base"
"66","UMBS",412,706,"PIST",10.1,"L","OS","06/26/2018",""
"67","UMBS",412,707,"QURU",26.2,"L","OD","06/26/2018",""
"68","UMBS",412,708,"unknown",17.4,"D","UN","06/26/2018",""
"69","UMBS",412,709,"QURU",29.2,"L","OD","06/26/2018","NW veg plot"
"70","UMBS",412,710,"ACRU",20.5,"L","OD","06/26/2018",""
"71","UMBS",412,711,"ACRU",8.6,"L","OS","06/26/2018",""
"72","UMBS",412,712,"QURU",14.2,"D","OS","06/26/2018","712 + 669 share base"
"73","UMBS",412,713,"PIST",8.9,"L","OS","06/26/2018",""
"74","UMBS",-99999,-99999,"",-99999,"","","",""
"75","UMBS",-99999,-99999,"",-99999,"","","",""
"76","UMBS",-99999,-99999,"",-99999,"","","",""
"77","UMBS",-99999,-99999,"",-99999,"","","",""
"78","UMBS",-99999,-99999,"",-99999,"","","",""
"79","UMBS",-99999,-99999,"",-99999,"","","",""
"80","UMBS",-99999,-99999,"",-99999,"","","",""
"81","UMBS",-99999,-99999,"",-99999,"","","",""
"82","UMBS",-99999,-99999,"",-99999,"","","",""
"83","UMBS",-99999,-99999,"",-99999,"","","",""
"84","UMBS",-99999,-99999,"",-99999,"","","",""
"85","UMBS",-99999,-99999,"",-99999,"","","",""
"86","UMBS",-99999,-99999,"",-99999,"","","",""
"87","UMBS",-99999,-99999,"",-99999,"","","",""
"88","UMBS",-99999,-99999,"",-99999,"","","",""
"89","UMBS",-99999,-99999,"",-99999,"","","",""
"90","UMBS",-99999,-99999,"",-99999,"","","",""
"91","UMBS",-99999,-99999,"",-99999,"","","",""
"92","UMBS",-99999,-99999,"",-99999,"","","",""
"93","UMBS",-99999,-99999,"",-99999,"","","",""
"94","UMBS",-99999,-99999,"",-99999,"","","",""
"95","UMBS",-99999,-99999,"",-99999,"","","",""
"96","UMBS",-99999,-99999,"",-99999,"","","",""
"97","UMBS",-99999,-99999,"",-99999,"","","",""
"98","UMBS",-99999,-99999,"",-99999,"","","",""
"99","UMBS",-99999,-99999,"",-99999,"","","",""
"100","UMBS",-99999,-99999,"",-99999,"","","",""
"101","UMBS",-99999,-99999,"",-99999,"","","",""
"102","UMBS",-99999,-99999,"",-99999,"","","",""
"103","UMBS",-99999,-99999,"",-99999,"","","",""
"104","UMBS",-99999,-99999,"",-99999,"","","",""
"105","UMBS",-99999,-99999,"",-99999,"","","",""
"106","UMBS",-99999,-99999,"",-99999,"","","",""
"107","UMBS",-99999,-99999,"",-99999,"","","",""
"108","UMBS",-99999,-99999,"",-99999,"","","",""
"109","UMBS",-99999,-99999,"",-99999,"","","",""
"110","UMBS",-99999,-99999,"",-99999,"","","",""
"111","UMBS",-99999,-99999,"",-99999,"","","",""
"112","UMBS",-99999,-99999,"",-99999,"","","",""
"113","UMBS",-99999,-99999,"",-99999,"","","",""
"114","UMBS",-99999,-99999,"",-99999,"","","",""
"115","UMBS",-99999,-99999,"",-99999,"","","",""
"116","UMBS",-99999,-99999,"",-99999,"","","",""
"117","UMBS",-99999,-99999,"",-99999,"","","",""
"118","UMBS",-99999,-99999,"",-99999,"","","",""
"119","UMBS",-99999,-99999,"",-99999,"","","",""
"120","UMBS",-99999,-99999,"",-99999,"","","",""
"121","UMBS",-99999,-99999,"",-99999,"","","",""
"122","UMBS",-99999,-99999,"",-99999,"","","",""
"123","UMBS",-99999,-99999,"",-99999,"","","",""
"124","UMBS",-99999,-99999,"",-99999,"","","",""
"125","UMBS",-99999,-99999,"",-99999,"","","",""
"126","UMBS",-99999,-99999,"",-99999,"","","",""
"127","UMBS",-99999,-99999,"",-99999,"","","",""
"128","UMBS",-99999,-99999,"",-99999,"","","",""
"129","UMBS",-99999,-99999,"",-99999,"","","",""
"130","UMBS",-99999,-99999,"",-99999,"","","",""
"131","UMBS",-99999,-99999,"",-99999,"","","",""
"132","UMBS",-99999,-99999,"",-99999,"","","",""
"133","UMBS",-99999,-99999,"",-99999,"","","",""
"134","UMBS",-99999,-99999,"",-99999,"","","",""
"135","UMBS",-99999,-99999,"",-99999,"","","",""
"136","UMBS",-99999,-99999,"",-99999,"","","",""
"137","UMBS",-99999,-99999,"",-99999,"","","",""
"138","UMBS",-99999,-99999,"",-99999,"","","",""
"139","UMBS",-99999,-99999,"",-99999,"","","",""
"140","UMBS",-99999,-99999,"",-99999,"","","",""
"141","UMBS",-99999,-99999,"",-99999,"","","",""
"142","UMBS",-99999,-99999,"",-99999,"","","",""
"143","UMBS",-99999,-99999,"",-99999,"","","",""
"144","UMBS",-99999,-99999,"",-99999,"","","",""
"145","UMBS",-99999,-99999,"",-99999,"","","",""
"146","UMBS",-99999,-99999,"",-99999,"","","",""
"147","UMBS",-99999,-99999,"",-99999,"","","",""
"148","UMBS",-99999,-99999,"",-99999,"","","",""
"149","UMBS",-99999,-99999,"",-99999,"","","",""
"150","UMBS",-99999,-99999,"",-99999,"","","",""
"151","UMBS",-99999,-99999,"",-99999,"","","",""
"152","UMBS",-99999,-99999,"",-99999,"","","",""
"153","UMBS",-99999,-99999,"",-99999,"","","",""
"154","UMBS",-99999,-99999,"",-99999,"","","",""
"155","UMBS",-99999,-99999,"",-99999,"","","",""
"156","UMBS",-99999,-99999,"",-99999,"","","",""
"157","UMBS",-99999,-99999,"",-99999,"","","",""
"158","UMBS",-99999,-99999,"",-99999,"","","",""
"159","UMBS",-99999,-99999,"",-99999,"","","",""
"160","UMBS",-99999,-99999,"",-99999,"","","",""
"161","UMBS",-99999,-99999,"",-99999,"","","",""
"162","UMBS",-99999,-99999,"",-99999,"","","",""
"163","UMBS",-99999,-99999,"",-99999,"","","",""
"164","UMBS",-99999,-99999,"",-99999,"","","",""
"165","UMBS",-99999,-99999,"",-99999,"","","",""
"166","UMBS",-99999,-99999,"",-99999,"","","",""
"167","UMBS",-99999,-99999,"",-99999,"","","",""
"168","UMBS",-99999,-99999,"",-99999,"","","",""
"169","UMBS",-99999,-99999,"",-99999,"","","",""
"170","UMBS",-99999,-99999,"",-99999,"","","",""
"171","UMBS",-99999,-99999,"",-99999,"","","",""
"172","UMBS",-99999,-99999,"",-99999,"","","",""
"173","UMBS",-99999,-99999,"",-99999,"","","",""
"174","UMBS",-99999,-99999,"",-99999,"","","",""
"175","UMBS",-99999,-99999,"",-99999,"","","",""
"176","UMBS",-99999,-99999,"",-99999,"","","",""
"177","UMBS",-99999,-99999,"",-99999,"","","",""
"178","UMBS",-99999,-99999,"",-99999,"","","",""
"179","UMBS",-99999,-99999,"",-99999,"","","",""
"180","UMBS",-99999,-99999,"",-99999,"","","",""
"181","UMBS",-99999,-99999,"",-99999,"","","",""
"182","UMBS",-99999,-99999,"",-99999,"","","",""
"183","UMBS",-99999,-99999,"",-99999,"","","",""
"184","UMBS",-99999,-99999,"",-99999,"","","",""
"185","UMBS",-99999,-99999,"",-99999,"","","",""
"186","UMBS",-99999,-99999,"",-99999,"","","",""
"187","UMBS",-99999,-99999,"",-99999,"","","",""
"188","UMBS",-99999,-99999,"",-99999,"","","",""
"189","UMBS",-99999,-99999,"",-99999,"","","",""
"190","UMBS",-99999,-99999,"",-99999,"","","",""
"191","UMBS",-99999,-99999,"",-99999,"","","",""
"192","UMBS",-99999,-99999,"",-99999,"","","",""
"193","UMBS",-99999,-99999,"",-99999,"","","",""
"194","UMBS",-99999,-99999,"",-99999,"","","",""
"195","UMBS",-99999,-99999,"",-99999,"","","",""
"196","UMBS",-99999,-99999,"",-99999,"","","",""
"197","UMBS",-99999,-99999,"",-99999,"","","",""
"198","UMBS",-99999,-99999,"",-99999,"","","",""
"199","UMBS",-99999,-99999,"",-99999,"","","",""
"200","UMBS",-99999,-99999,"",-99999,"","","",""
"201","UMBS",-99999,-99999,"",-99999,"","","",""
"202","UMBS",-99999,-99999,"",-99999,"","","",""
"203","UMBS",-99999,-99999,"",-99999,"","","",""
"204","UMBS",-99999,-99999,"",-99999,"","","",""
"205","UMBS",-99999,-99999,"",-99999,"","","",""
"206","UMBS",-99999,-99999,"",-99999,"","","",""
"207","UMBS",-99999,-99999,"",-99999,"","","",""
"208","UMBS",-99999,-99999,"",-99999,"","","",""
"209","UMBS",-99999,-99999,"",-99999,"","","",""
"210","UMBS",-99999,-99999,"",-99999,"","","",""
"211","UMBS",-99999,-99999,"",-99999,"","","",""
"212","UMBS",-99999,-99999,"",-99999,"","","",""
"213","UMBS",-99999,-99999,"",-99999,"","","",""
"214","UMBS",-99999,-99999,"",-99999,"","","",""
"215","UMBS",-99999,-99999,"",-99999,"","","",""
"216","UMBS",-99999,-99999,"",-99999,"","","",""
"217","UMBS",-99999,-99999,"",-99999,"","","",""
"218","UMBS",-99999,-99999,"",-99999,"","","",""
"219","UMBS",-99999,-99999,"",-99999,"","","",""
"220","UMBS",-99999,-99999,"",-99999,"","","",""
"221","UMBS",-99999,-99999,"",-99999,"","","",""
"222","UMBS",-99999,-99999,"",-99999,"","","",""
"223","UMBS",-99999,-99999,"",-99999,"","","",""
"224","UMBS",-99999,-99999,"",-99999,"","","",""
"225","UMBS",-99999,-99999,"",-99999,"","","",""
"226","UMBS",-99999,-99999,"",-99999,"","","",""
"227","UMBS",-99999,-99999,"",-99999,"","","",""
"228","UMBS",-99999,-99999,"",-99999,"","","",""
"229","UMBS",-99999,-99999,"",-99999,"","","",""
"230","UMBS",-99999,-99999,"",-99999,"","","",""
"231","UMBS",-99999,-99999,"",-99999,"","","",""
"232","UMBS",-99999,-99999,"",-99999,"","","",""
"233","UMBS",-99999,-99999,"",-99999,"","","",""
"234","UMBS",-99999,-99999,"",-99999,"","","",""
"235","UMBS",-99999,-99999,"",-99999,"","","",""
"236","UMBS",-99999,-99999,"",-99999,"","","",""
"237","UMBS",-99999,-99999,"",-99999,"","","",""
"238","UMBS",-99999,-99999,"",-99999,"","","",""
"239","UMBS",-99999,-99999,"",-99999,"","","",""
"240","UMBS",-99999,-99999,"",-99999,"","","",""
"241","UMBS",-99999,-99999,"",-99999,"","","",""
"242","UMBS",-99999,-99999,"",-99999,"","","",""
"243","UMBS",-99999,-99999,"",-99999,"","","",""
"244","UMBS",-99999,-99999,"",-99999,"","","",""
"245","UMBS",-99999,-99999,"",-99999,"","","",""
"246","UMBS",-99999,-99999,"",-99999,"","","",""
"247","UMBS",-99999,-99999,"",-99999,"","","",""
"248","UMBS",-99999,-99999,"",-99999,"","","",""
"249","UMBS",-99999,-99999,"",-99999,"","","",""
"250","UMBS",-99999,-99999,"",-99999,"","","",""
"251","UMBS",-99999,-99999,"",-99999,"","","",""
"252","UMBS",-99999,-99999,"",-99999,"","","",""
"253","UMBS",-99999,-99999,"",-99999,"","","",""
"254","UMBS",-99999,-99999,"",-99999,"","","",""
"255","UMBS",-99999,-99999,"",-99999,"","","",""
"256","UMBS",-99999,-99999,"",-99999,"","","",""
"257","UMBS",-99999,-99999,"",-99999,"","","",""
"258","UMBS",-99999,-99999,"",-99999,"","","",""
"259","UMBS",-99999,-99999,"",-99999,"","","",""
"260","UMBS",-99999,-99999,"",-99999,"","","",""
"261","UMBS",-99999,-99999,"",-99999,"","","",""
"262","UMBS",-99999,-99999,"",-99999,"","","",""
"263","UMBS",-99999,-99999,"",-99999,"","","",""
"264","UMBS",-99999,-99999,"",-99999,"","","",""
"265","UMBS",-99999,-99999,"",-99999,"","","",""
"266","UMBS",-99999,-99999,"",-99999,"","","",""
"267","UMBS",-99999,-99999,"",-99999,"","","",""
"268","UMBS",-99999,-99999,"",-99999,"","","",""
"269","UMBS",-99999,-99999,"",-99999,"","","",""
"270","UMBS",-99999,-99999,"",-99999,"","","",""
"271","UMBS",-99999,-99999,"",-99999,"","","",""
"272","UMBS",-99999,-99999,"",-99999,"","","",""
"273","UMBS",-99999,-99999,"",-99999,"","","",""
"274","UMBS",-99999,-99999,"",-99999,"","","",""
"275","UMBS",-99999,-99999,"",-99999,"","","",""
"276","UMBS",-99999,-99999,"",-99999,"","","",""
"277","UMBS",-99999,-99999,"",-99999,"","","",""
"278","UMBS",-99999,-99999,"",-99999,"","","",""
"279","UMBS",-99999,-99999,"",-99999,"","","",""
"280","UMBS",-99999,-99999,"",-99999,"","","",""
"281","UMBS",-99999,-99999,"",-99999,"","","",""
"282","UMBS",-99999,-99999,"",-99999,"","","",""
"283","UMBS",-99999,-99999,"",-99999,"","","",""
"284","UMBS",-99999,-99999,"",-99999,"","","",""
"285","UMBS",-99999,-99999,"",-99999,"","","",""
"286","UMBS",-99999,-99999,"",-99999,"","","",""
"287","UMBS",-99999,-99999,"",-99999,"","","",""
"288","UMBS",-99999,-99999,"",-99999,"","","",""
"289","UMBS",-99999,-99999,"",-99999,"","","",""
"290","UMBS",-99999,-99999,"",-99999,"","","",""
"291","UMBS",-99999,-99999,"",-99999,"","","",""
"292","UMBS",-99999,-99999,"",-99999,"","","",""
"293","UMBS",-99999,-99999,"",-99999,"","","",""
"294","UMBS",-99999,-99999,"",-99999,"","","",""
"295","UMBS",-99999,-99999,"",-99999,"","","",""
"296","UMBS",-99999,-99999,"",-99999,"","","",""
"297","UMBS",-99999,-99999,"",-99999,"","","",""
"298","UMBS",-99999,-99999,"",-99999,"","","",""
"299","UMBS",-99999,-99999,"",-99999,"","","",""
"300","UMBS",-99999,-99999,"",-99999,"","","",""
"301","UMBS",-99999,-99999,"",-99999,"","","",""
"302","UMBS",-99999,-99999,"",-99999,"","","",""
"303","UMBS",-99999,-99999,"",-99999,"","","",""
"304","UMBS",-99999,-99999,"",-99999,"","","",""
"305","UMBS",-99999,-99999,"",-99999,"","","",""
"306","UMBS",-99999,-99999,"",-99999,"","","",""
"307","UMBS",-99999,-99999,"",-99999,"","","",""
"308","UMBS",-99999,-99999,"",-99999,"","","",""
"309","UMBS",-99999,-99999,"",-99999,"","","",""
"310","UMBS",-99999,-99999,"",-99999,"","","",""
"311","UMBS",-99999,-99999,"",-99999,"","","",""
"312","UMBS",-99999,-99999,"",-99999,"","","",""
"313","UMBS",-99999,-99999,"",-99999,"","","",""
"314","UMBS",-99999,-99999,"",-99999,"","","",""
"315","UMBS",-99999,-99999,"",-99999,"","","",""
"316","UMBS",-99999,-99999,"",-99999,"","","",""
"317","UMBS",-99999,-99999,"",-99999,"","","",""
"318","UMBS",-99999,-99999,"",-99999,"","","",""
"319","UMBS",-99999,-99999,"",-99999,"","","",""
"320","UMBS",-99999,-99999,"",-99999,"","","",""
"321","UMBS",-99999,-99999,"",-99999,"","","",""
"322","UMBS",-99999,-99999,"",-99999,"","","",""
"323","UMBS",-99999,-99999,"",-99999,"","","",""
"324","UMBS",-99999,-99999,"",-99999,"","","",""
"325","UMBS",-99999,-99999,"",-99999,"","","",""
"326","UMBS",-99999,-99999,"",-99999,"","","",""
"327","UMBS",-99999,-99999,"",-99999,"","","",""
"328","UMBS",-99999,-99999,"",-99999,"","","",""
"329","UMBS",-99999,-99999,"",-99999,"","","",""
"330","UMBS",-99999,-99999,"",-99999,"","","",""
"331","UMBS",-99999,-99999,"",-99999,"","","",""
"332","UMBS",-99999,-99999,"",-99999,"","","",""
"333","UMBS",-99999,-99999,"",-99999,"","","",""
"334","UMBS",-99999,-99999,"",-99999,"","","",""
"335","UMBS",-99999,-99999,"",-99999,"","","",""
"336","UMBS",-99999,-99999,"",-99999,"","","",""
"337","UMBS",-99999,-99999,"",-99999,"","","",""
"338","UMBS",-99999,-99999,"",-99999,"","","",""
"339","UMBS",-99999,-99999,"",-99999,"","","",""
"340","UMBS",-99999,-99999,"",-99999,"","","",""
"341","UMBS",-99999,-99999,"",-99999,"","","",""
"342","UMBS",-99999,-99999,"",-99999,"","","",""
"343","UMBS",-99999,-99999,"",-99999,"","","",""
"344","UMBS",-99999,-99999,"",-99999,"","","",""
"345","UMBS",-99999,-99999,"",-99999,"","","",""
"346","UMBS",-99999,-99999,"",-99999,"","","",""
"347","UMBS",-99999,-99999,"",-99999,"","","",""
"348","UMBS",-99999,-99999,"",-99999,"","","",""
"349","UMBS",-99999,-99999,"",-99999,"","","",""
"350","UMBS",-99999,-99999,"",-99999,"","","",""
"351","UMBS",-99999,-99999,"",-99999,"","","",""
"352","UMBS",-99999,-99999,"",-99999,"","","",""
"353","UMBS",-99999,-99999,"",-99999,"","","",""
"354","UMBS",-99999,-99999,"",-99999,"","","",""
"355","UMBS",-99999,-99999,"",-99999,"","","",""
"356","UMBS",-99999,-99999,"",-99999,"","","",""
"357","UMBS",-99999,-99999,"",-99999,"","","",""
"358","UMBS",-99999,-99999,"",-99999,"","","",""
"359","UMBS",-99999,-99999,"",-99999,"","","",""
"360","UMBS",-99999,-99999,"",-99999,"","","",""
"361","UMBS",-99999,-99999,"",-99999,"","","",""
"362","UMBS",-99999,-99999,"",-99999,"","","",""
"363","UMBS",-99999,-99999,"",-99999,"","","",""
