"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","SubplotID"
"60","UMBS",112,2831,"POGR",25.2,"L","OD","07/12/2018","","","A01E"
"61","UMBS",112,2832,"FAGR",8.4,"D","UN","07/12/2018","2832 - 2834 share base","","A01E"
"62","UMBS",112,2833,"FAGR",19.1,"L","OS","07/12/2018","2832 - 2834 share base","","A01E"
"63","UMBS",112,2834,"FAGR",10.2,"L","UN","07/12/2018","2832 - 2834 share base","","A01E"
"64","UMBS",112,2835,"ACPE",1.6,"L","SA","07/12/2018","in SW veg plot","","A01E"
"65","UMBS",112,2836,"ACPE",1.4,"L","SA","07/12/2018","in SW veg plot","","A01E"
"66","UMBS",112,2837,"ACPE",2.6,"L","SA","07/12/2018","in SW veg plot","","A01E"
"67","UMBS",112,2838,"ACPE",3.2,"L","SA","07/12/2018","in SW veg plot","","A01E"
"68","UMBS",112,2839,"ACPE",1.1,"L","SA","07/12/2018","in SW veg plot","","A01E"
"69","UMBS",112,2840,"POGR",35.1,"L","OD","07/12/2018","","","A01E"
"70","UMBS",112,2841,"ACSA",10.9,"L","OS","07/12/2018","2841 - 2842 share base, taken a little above DBH","","A01E"
"71","UMBS",114,2842,"ACSA",14,"L","OS","07/12/2018","2841 - 2842 share base","","A01E"
"72","UMBS",112,2843,"BEPA",18.4,"D","UN","07/12/2018","","","A01E"
"73","UMBS",112,2844,"ACSA",11.9,"L","OS","07/12/2018","Shares base with smaller tree","","A01E"
"74","UMBS",112,2845,"POGR",33.9,"L","OD","07/12/2018","","","A01E"
"75","UMBS",112,2846,"POGR",36.5,"L","OD","07/12/2018","","","A01E"
"76","UMBS",112,2847,"FAGR",11.2,"D","UN","07/12/2018","","","A01E"
"77","UMBS",112,2848,"ACSA",25,"L","OS","07/12/2018","2848 - 2849 share base","","A01E"
"78","UMBS",112,2849,"ACSA",25,"L","OS","07/12/2018","2848 - 2849 share base","","A01E"
"79","UMBS",114,2850,"ACSA",12,"L","OS","07/12/2018","","","A01E"
"80","UMBS",112,2851,"FAGR",10.9,"L","OS","07/12/2018","Shares base with smaller tree","","A01E"
"81","UMBS",112,2852,"FAGR",11.8,"L","OS","07/12/2018","","","A01E"
"82","UMBS",112,2853,"POGR",33,"L","OD","07/12/2018","","","A01E"
"83","UMBS",112,2854,"FAGR",10.4,"L","UN","07/12/2018","2854 - 2855 share base","","A01E"
"84","UMBS",112,2855,"FAGR",20.8,"L","OS","07/12/2018","2854 - 2855 share base","","A01E"
"85","UMBS",112,2856,"POGR",31.2,"L","OD","07/12/2018","","","A01E"
"86","UMBS",112,2857,"POGR",30.3,"L","OD","07/12/2018","","","A01E"
"87","UMBS",112,2858,"FAGR",10.1,"L","OS","07/12/2018","","","A01E"
"88","UMBS",112,2859,"FAGR",14.8,"L","OS","07/12/2018","2859 - 2861 share base","","A01E"
"89","UMBS",112,2860,"FAGR",10.2,"L","UN","07/12/2018","2859 - 2861 share base","","A01E"
"90","UMBS",112,2861,"FAGR",15.6,"L","OS","07/12/2018","2859 - 2861 share base","","A01E"
"91","UMBS",112,2862,"FAGR",25.2,"L","OD","07/12/2018","","","A01E"
"92","UMBS",112,2863,"POGR",56.1,"L","OD","07/12/2018","","","A01E"
"93","UMBS",112,2864,"FAGR",10.5,"L","UN","07/12/2018","","","A01E"
"94","UMBS",112,2865,"POGR",31.2,"L","OD","07/12/2018","","","A01E"
"95","UMBS",112,2866,"FAGR",14.2,"L","OS","07/12/2018","","","A01E"
"96","UMBS",112,2867,"POGR",32.1,"L","OD","07/12/2018","","","A01E"
"97","UMBS",112,2868,"ACRU",8.4,"M","UN","07/12/2018","","","A01E"
"98","UMBS",112,2869,"ACSA",19.8,"L","OS","07/12/2018","","","A01E"
"99","UMBS",112,2870,"POGR",31.3,"L","OD","07/12/2018","","","A01E"
"100","UMBS",112,2871,"FAGR",18.5,"D","UN","07/13/2018","","","A01E"
"101","UMBS",112,2872,"POGR",50.5,"L","OD","07/14/2018","","","A01E"
"102","UMBS",115,2873,"ACSA",15.6,"L","OD","07/15/2018","2873 - 2874 share base","","A01E"
"103","UMBS",115,2874,"ACSA",21,"L","OD","07/16/2018","2874 - 2874 share base","","A01E"
"104","UMBS",112,2875,"ACSA",9.6,"D","UN","07/17/2018","","","A01E"
