0,0
,
,
,
,
,
,
,
0.282,15
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
16.934,31
16.928,43
16.929,46
16.904,47
16.93,53
16.904,49
16.88,53
16.881,62
16.914,72
16.989,96
17.03,100
17.032,107
17.014,109
16.958,107
16.889,91
16.865,87
16.88,94
16.947,104
16.947,104
16.983,107
16.933,107
16.983,107
16.929,106
16.929,106
16.99,109
16.94,109
16.983,107
16.923,111
16.99,109
16.948,111
16.981,113
16.965,109
16.933,107
16.922,104
16.929,106
16.875,105
16.925,105
16.936,108
16.947,104
16.925,105
16.958,107
16.979,106
16.986,108
16.99,109
16.986,108
16.958,107
16.975,105
16.975,105
16.947,104
16.931,100
16.927,99
16.89,87
16.86,86
16.848,78
16.908,90
16.927,99
16.968,103
17.014,109
16.958,107
16.931,100
18.996,99
18.955,101
19.011,97
18.977,107
18.966,98
18.932,81
18.93,70
18.999,59
19.025,67
18.98,70
18.962,75
18.957,81
18.957,81
18.912,75
18.931,71
16.54,72
16.533,67
16.484,68
16.539,81
16.528,84
16.547,88
16.54,96
16.612,101
16.655,106
16.612,108
16.603,112
16.702,112
16.752,125
16.752,125
16.736,121
16.744,123
16.694,123
16.736,121
16.752,125
16.715,122
16.748,124
16.75,105
19.245,99
19.214,88
16.315,81
16.484,80
16.366,73
16.482,65
16.472,77
16.519,82
16.559,80
16.599,78
16.635,95
16.448,98
16.437,108
16.403,112
16.373,98
16.47,110
16.66,127
19.279,121
16.69,122
16.825,131
16.773,124
16.706,113
16.601,105
16.63,106
16.634,107
16.641,109
16.657,113
0.206,23
0.382,14
0.209,30
0.159,30
0.207,32
0.23,35
0.202,40
0.202,39
0.252,43
0.253,49
0.228,50
0.203,51
0.204,54
0.229,54
0.204,54
0.229,59
0.229,54
0.204,59
0.204,59
0.155,60
0.179,58
0.229,56
0.18,60
0.204,58
0.205,60
0.18,63
0.205,65
0.205,61
0.205,62
0.205,62
0.205,64
0.205,61
0.23,64
0.205,64
0.205,64
0.205,61
0.23,62
0.23,64
0.255,64
0.18,63
0.23,64
0.18,62
0.23,65
0.208,69
0.205,64
0.206,67
0.208,69
0.213,72
0.239,73
0.222,78
0.232,80
0.212,81
0.247,83
0.212,81
0.247,83
0.239,87
0.238,91
0.226,89
0.238,96
0.238,96
0.221,98
0.271,98
0.225,93
0.207,90
0.282,90
0.251,84
0.272,83
0.247,78
0.266,74
0.27,77
0.264,73
0.261,71
0.263,72
0.306,67
0.281,67
0.285,70
0.256,67
0.307,68
0.281,67
0.28,66
0.281,67
0.305,64
0.305,65
0.308,69
0.28,66
0.255,62
0.258,69
0.281,67
0.23,62
0.255,66
0.256,67
0.263,72
0.256,67
0.23,66
0.255,66
0.255,66
0.255,65
0.231,67
0.256,67
0.207,68
0.23,63
0.205,63
0.205,65
0.205,66
0.205,66
0.205,65
0.205,65
0.204,55
0.204,59
0.155,60
0.179,57
0.204,56
0.204,55
0.229,57
0.229,55
0.178,52
0.203,47
0.178,50
0.178,47
0.152,42
0.179,36
0.16,29
16.363,121
16.299,117
16.226,111
16.18,112
16.262,114
0.21,29
0.277,40
0.252,41
0.203,51
0.203,51
0.179,53
0.128,49
0.152,44
0.202,42
0.152,45
0.202,42
0.127,40
0.127,44
0.203,47
0.252,38
0.286,28
0.307,9
16.289,121
16.354,125
16.332,119
16.426,118
16.426,118
-9999999,
16.376,118
16.335,120
16.376,118
16.418,116
16.487,121
16.368,116
16.324,117
16.387,121
16.412,121
16.412,121
16.328,118
16.349,117
16.232,106
16.028,105
16.093,122
16.367,122
16.391,122
16.343,122
16.35,124
16.356,119
16.335,120
16.318,122
16.31,120
16.282,119
16.345,116
16.339,121
16.339,121
16.318,122
16.462,121
16.418,116
16.428,112
16.472,117
16.582,113
16.566,122
16.458,120
16.456,126
14.591,133
14.283,118
14.202,110
14.176,103
14.187,106
14.183,105
14.214,113
14.217,114
14.233,118
14.229,117
14.248,122
14.21,112
14.287,119
14.325,129
14.41,125
14.584,125
14.329,117
14.264,113
14.287,119
14.214,113
14.262,106
14.402,110
14.248,109
14.244,101
14.23,104
14.605,111
14.709,125
14.684,112
14.78,124
14.751,123
14.712,126
14.452,123
14.269,121
14.26,112
14.294,121
14.287,119
14.177,123
14.115,120
14.09,120
14.087,119
