"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes"
"23","UMBS",132,2488,"FAGR",21.3,"L","OS","07/11/2018","2487 - 2488 share base"
"24","UMBS",132,2489,"FAGR",12.6,"L","OS","07/11/2018","Slightly below DBH"
"25","UMBS",132,2490,"ACRU",31,"L","OD","07/11/2018",""
"26","UMBS",132,2491,"FAGR",18.4,"L","OS","07/11/2018",""
"27","UMBS",132,2492,"FAGR",22.9,"L","OD","07/11/2018","2492 - 2493 share base"
"28","UMBS",132,2493,"FAGR",17.7,"L","OD","07/11/2018","2492 - 2493 share base"
"29","UMBS",133,2494,"FAGR",23,"L","OD","07/11/2018",""
"30","UMBS",132,2495,"FAGR",9.5,"L","OS","07/11/2018",""
"31","UMBS",132,2496,"ACSA",18.7,"L","OS","07/11/2018",""
"32","UMBS",132,2497,"FAGR",16.1,"L","OS","07/11/2018",""
"33","UMBS",132,2498,"FAGR",28.1,"L","OD","07/11/2018","2498 - 2499 share base"
"34","UMBS",132,2499,"FAGR",9.5,"D","UN","07/11/2018","2498 - 2499 share base"
"35","UMBS",132,2500,"ACSA",8.5,"L","UN","07/11/2018","Shares base with smaller tree"
"36","UMBS",132,2501,"FAGR",13.4,"L","OS","07/11/2018","Shares base with smaller trees"
"37","UMBS",133,2502,"ACSA",18,"L","OD","07/11/2018","2502- 2503 share base"
"38","UMBS",133,2503,"ACSA",15.1,"L","OD","07/11/2018","2502- 2503 share base"
"39","UMBS",132,2504,"ACRU",30.1,"L","OD","07/11/2018","2504 - 2506 share base"
"40","UMBS",132,2505,"ACRU",27,"L","OD","07/11/2018","2504 - 2506 share base"
"41","UMBS",132,2506,"ACRU",30.2,"L","OD","07/11/2018","2504 - 2506 share base"
"42","UMBS",132,2507,"?",11.5,"D","UN","07/11/2018",""
"43","UMBS",132,2508,"FAGR",8.5,"L","UN","07/11/2018",""
"44","UMBS",132,2509,"?",3.1,"D","UN","07/11/2018","In SE veg plot"
"45","UMBS",132,2510,"FAGR",9,"M","UN","07/11/2018",""
"46","UMBS",132,2511,"FAGR",11.2,"L","OS","07/11/2018","2511 - 2513 share base"
"47","UMBS",133,2512,"FAGR",8.9,"L","OS","07/11/2018","2511 - 2513 share base"
"48","UMBS",132,2513,"FAGR",15.1,"L","OD","07/11/2018","2511 - 2513 share base"
"49","UMBS",132,2514,"FAGR",14.5,"L","OD","07/11/2018",""
"50","UMBS",132,2515,"FAGR",15.9,"L","OD","07/11/2018",""
"51","UMBS",132,2516,"QURU",22.6,"L","OD","07/11/2018",""
"52","UMBS",132,2517,"BEAL",20.5,"L","OD","07/11/2018",""
"53","UMBS",132,2518,"FAGR",9.6,"L","OS","07/11/2018","2518-2519 share base"
"54","UMBS",132,2519,"FAGR",13.9,"L","OS","07/11/2018","2518-2519 share base, taken above DBH"
"55","UMBS",132,2520,"FAGR",29.2," D","UN","07/11/2018",""
"56","UMBS",132,2521,"FAGR",8.2,"D","UN","07/11/2018",""
"57","UMBS",132,2522,"ACRU",35.1,"L","OD","07/11/2018","2522- 2524 share base, taken above DBH"
"58","UMBS",132,2523,"ACRU",22.5,"L","OD","07/11/2018","2522- 2524 share base"
"59","UMBS",133,2524,"ACRU",34.3,"L","OD","07/11/2018","2522- 2524 share base"
"60","UMBS",132,2525,"ACRU",19.4,"L","OS","07/11/2018",""
"61","UMBS",132,2526,"ACRU",24.8,"L","OD","07/11/2018",""
"62","UMBS",132,2527,"ACRU",13.6,"L","OS","07/11/2018",""
"63","UMBS",132,2528,"FAGR",22.7,"L","OD","07/11/2018","2528- 2529 share base"
"64","UMBS",132,2529,"FAGR",11,"L","UN","07/11/2018","2528- 2529 share base"
"65","UMBS",132,2530,"ACRU",12.2,"L","OS","07/11/2018",""
"66","UMBS",132,2531,"ACSA",9.5,"L","UN","07/11/2018","2531 - 2532 share base"
"67","UMBS",134,2532,"ACSA",24.8,"L","OD","07/11/2018","2531 - 2532 share base"
"68","UMBS",132,2533,"ACSA",9.6,"L","OS","07/11/2018",""
"69","UMBS",132,2534,"ACSA",28.3,"L","OD","07/11/2018",""
"70","UMBS",132,2535,"ACRU",28.1,"L","OD","07/11/2018","2535 - 2536 share base"
"71","UMBS",132,2536,"ACRU",32.6,"L","OD","07/11/2018",""
"72","UMBS",132,2537,"FAGR",11.2,"L","UN","07/11/2018","2537 - 2538 share base"
"73","UMBS",132,2538,"FAGR",24.2,"L","OS","07/11/2018","2537 - 2538 share base"
"74","UMBS",132,2539,"FAGR",12.3,"L","OS","07/11/2018",""
"75","UMBS",132,2540,"FAGR",24.2,"L","OD","07/11/2018",""
"76","UMBS",132,2541,"POGR",33.8,"L","OD","07/11/2018",""
"77","UMBS",132,2542,"ACPE",8.3,"D","UN","07/11/2018",""
"78","UMBS",132,2543,"POGR",34.5,"M","OD","07/11/2018",""
"79","UMBS",132,2544,"ACRU",8.7,"L","UN","07/11/2018",".08 our of plot"
"80","UMBS",134,2545,"FAGR",27.8,"L","OD","07/11/2018","2545- 2547 share base"
"81","UMBS",134,2546,"FAGR",13.7,"L","OS","07/11/2018","2545- 2547 share base"
"82","UMBS",132,2547,"FAGR",9.2,"L","UN","07/11/2018","2545- 2547 share base, slightly above DBH"
"83","UMBS",132,2548,"ACSA",16.8,"L","OS","07/11/2018",""
"84","UMBS",134,2549,"ACSA",12.3,"L","OS","07/11/2018","2549 - 2550 share bse"
"85","UMBS",132,2550,"ACSA",29.3,"L","OD","07/11/2018","2549 - 2550 share bse"
"86","UMBS",132,2551,"POGR",39.1,"L","OD","07/11/2018",""
"87","UMBS",132,2552,"FAGR",1.8,"L","SA","07/11/2018","In NW veg plot"
"88","UMBS",132,2553,"FAGR",1.4,"L","SA","07/11/2018","In NW veg plot"
"89","UMBS",132,2554,"FAGR",2.2,"L","UN","07/11/2018","In NW veg plot"
"90","UMBS",132,2555,"ACSA",34.2,"L","OD","07/11/2018","In NW veg plot"
"91","UMBS",132,2556,"FAGR",12.7,"D","UN","07/11/2018",""
"92","UMBS",132,2557,"FAGR",9.7,"L","UN","07/11/2018","Shares base with smaller trees"
"93","UMBS",135,2558,"ACSA",23,"D","OS","07/11/2018","2558 - 2559 share base"
