"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes"
"24","UMBS",222,1885,"QURU",8.9,"L","OS","07/05/2018",""
"25","UMBS",222,1886,"QURU",8,"L","OS","07/05/2018",""
"26","UMBS",223,1887,"ACRU",26.3,"L","OS","07/05/2018","1887-1890 share base, 1887 in new plot 223"
"27","UMBS",223,1888,"ACRU",22.8,"L","OS","07/05/2018","1887-1890 share base, 1888 in new plot 223"
"28","UMBS",222,1889,"ACRU",16.6,"L","OS","07/05/2018","1887-1890 share base"
"29","UMBS",222,1890,"ACRU",15,"L","OS","07/05/2018","1887-1890 share base"
"30","UMBS",222,1891,"QURU",8.7,"L","OS","07/05/2018",""
"31","UMBS",223,1892,"ACRU",14.3,"L","OS","07/05/2018","1892-1895 share base, 1892 in new plot 223"
"32","UMBS",223,1893,"ACRU",27.4,"L","OS","07/05/2018","1892-1895 share base, 1893 in new plot 223"
"33","UMBS",222,1894,"ACRU",30.5,"L","OD","07/05/2018","1892-1895 share base"
"34","UMBS",222,1895,"ACRU",30.6,"L","OD","07/05/2018","1892-1895 share base"
"35","UMBS",222,1896,"ACRU",34.3,"L","OD","07/05/2018","1896-1897 share base"
"36","UMBS",222,1897,"ACRU",14.4,"L","OS","07/05/2018","1896-1897 share base"
"37","UMBS",222,1898,"BEPA",11.1,"L","UN","07/05/2018",""
"38","UMBS",222,1899,"FAGR",13.2,"L","UN","07/05/2018",""
"39","UMBS",222,1900,"FAGR",10.1,"L","UN","07/05/2018","reading taken above DBH"
"40","UMBS",222,1901,"FAGR",10.1,"L","UN","07/05/2018",""
"41","UMBS",222,1902,"ACRU",17.8,"L","OS","07/05/2018","1902-1903 share base"
"42","UMBS",222,1903,"ACRU",37.8,"L","OD","07/05/2018","1902-1903 share base"
"43","UMBS",222,1904,"FAGR",8.4,"L","UN","07/05/2018",""
"44","UMBS",222,1905,"FAGR",13,"L","OS","07/05/2018","read as outside plot at 18.16 m"
"45","UMBS",222,1906,"POGR",24.9,"L","OD","07/05/2018",""
"46","UMBS",222,1907,"FAGR",21.6,"L","OS","07/05/2018",""
"47","UMBS",222,1908,"FAGR",8.5,"L","UN","07/05/2018",""
"48","UMBS",222,1909,"unknown",2,"D","UN","07/05/2018","SW veg plot"
"49","UMBS",222,1910,"ACRU",21.2,"L","OS","07/05/2018","1910-1911 share base"
"50","UMBS",222,1911,"ACRU",14,"L","OS","07/05/2018","1910-1911 share base"
"51","UMBS",222,1912,"ACRU",9.8,"L","OS","07/05/2018",""
"52","UMBS",222,1913,"POGR",47.8,"L","OD","07/05/2018",""
"53","UMBS",222,1914,"FAGR",15,"L","OS","07/05/2018",""
"54","UMBS",222,1915,"FAGR",10.7,"L","OS","07/05/2018",""
"55","UMBS",222,1916,"ACRU",18.8,"L","OS","07/05/2018","reading taken below DBH, 1916-1917 share base"
"56","UMBS",222,1917,"ACRU",21.1,"L","OS","07/05/2018","1916-1917 share base"
"57","UMBS",222,1918,"ACRU",21,"L","OS","07/05/2018",""
"58","UMBS",222,1919,"FAGR",15.3,"L","OS","07/05/2018",""
"59","UMBS",222,1920,"FAGR",8,"L","OS","07/05/2018","1920-1921 share base"
"60","UMBS",222,1921,"FAGR",17.8,"L","OS","07/05/2018","1920-1921 share base"
"61","UMBS",222,1922,"POGR",42.1,"L","OD","07/05/2018",""
"62","UMBS",222,1923,"POGR",51.2,"D","UN","07/05/2018",""
"63","UMBS",222,1924,"ACRU",11.4,"L","OS","07/05/2018",""
"64","UMBS",224,1925,"POGR",40.2,"L","OD","07/05/2018","in new plot 224"
"65","UMBS",222,1926,"POGR",41.3,"L","OD","07/05/2018","read as outside plot at 18.45 m"
"66","UMBS",222,1927,"ACRU",14.4,"L","OS","07/05/2018",""
"67","UMBS",222,1928,"POGR",43.3,"L","OD","07/05/2018",""
"68","UMBS",222,1929,"ACRU",10.5,"L","OS","07/05/2018",""
"69","UMBS",222,1930,"ACRU",12.8,"L","OS","07/05/2018","1930-1931 share base"
"70","UMBS",222,1931,"ACRU",10.7,"L","OS","07/05/2018","1930-1931 share base"
"71","UMBS",222,1932,"POGR",32.4,"L","OD","07/05/2018",""
"72","UMBS",222,1933,"ACSA",8.1,"L","OS","07/05/2018",""
"73","UMBS",222,1934,"POGR",39.5,"L","OD","07/05/2018",""
"74","UMBS",222,1935,"POGR",38.4,"L","OD","07/05/2018",""
"75","UMBS",222,1936,"FAGR",19.5,"L","OS","07/05/2018","1936-1937 share base w/ third <8 cm"
"76","UMBS",222,1937,"FAGR",9.1,"L","UN","07/05/2018","1936-1937 share base w/ third <8 cm"
"77","UMBS",222,1938,"POGR",23.4,"D","UN","07/05/2018",""
"78","UMBS",222,1939,"POGR",35.6,"D","OS","07/05/2018",""
"79","UMBS",222,1940,"POGR",43.2,"L","OD","07/05/2018",""
"80","UMBS",222,1941,"POGR",35.3,"D","UN","07/05/2018",""
"81","UMBS",222,1942,"ACRU",19.6,"L","OS","07/05/2018",""
"82","UMBS",222,1943,"ACSA",10.2,"L","OS","07/05/2018",""
"83","UMBS",222,1944,"unknown",9.7,"D","UN","07/05/2018",""
"84","UMBS",222,1945,"ACRU",25.3,"L","OS","07/05/2018","1945-1947 share base"
"85","UMBS",222,1946,"ACRU",13.4,"D","OS","07/05/2018","1945-1947 share base"
"86","UMBS",222,1947,"ACRU",18.6,"L","OS","07/05/2018","1945-1947 share base"
"87","UMBS",222,1948,"ACRU",22.4,"L","OS","07/05/2018",""
"88","UMBS",222,1949,"FAGR",8.3,"L","UN","07/05/2018",""
"89","UMBS",222,1950,"ACRU",17,"L","OS","07/05/2018","1950-1951 share base"
"90","UMBS",222,1951,"ACRU",14.5,"L","OS","07/05/2018","1950-1951 share base"
"91","UMBS",222,1952,"ACRU",13.9,"L","OS","07/05/2018","1952-1953 share base"
"92","UMBS",222,1953,"ACRU",17.8,"L","OS","07/05/2018","1952-1953 share base"
"93","UMBS",222,1954,"ACRU",10.5,"L","UN","07/05/2018",""
"94","UMBS",222,1955,"POGR",39.2,"L","OD","07/05/2018",""
"95","UMBS",222,1956,"ACRU",17.6,"L","OS","07/05/2018",""
"96","UMBS",222,1957,"POGR",39.2,"L","OD","07/05/2018","read as outside plot at 18.51"
"97","UMBS",222,1958,"POGR",35.8,"L","OD","07/05/2018",""
"98","UMBS",-99999,-99999,"",-99999,"","","",""
"99","UMBS",-99999,-99999,"",-99999,"","","",""
"100","UMBS",-99999,-99999,"",-99999,"","","",""
"101","UMBS",-99999,-99999,"",-99999,"","","",""
"102","UMBS",-99999,-99999,"",-99999,"","","",""
"103","UMBS",-99999,-99999,"",-99999,"","","",""
"104","UMBS",-99999,-99999,"",-99999,"","","",""
"105","UMBS",-99999,-99999,"",-99999,"","","",""
"106","UMBS",-99999,-99999,"",-99999,"","","",""
"107","UMBS",-99999,-99999,"",-99999,"","","",""
"108","UMBS",-99999,-99999,"",-99999,"","","",""
"109","UMBS",-99999,-99999,"",-99999,"","","",""
"110","UMBS",-99999,-99999,"",-99999,"","","",""
"111","UMBS",-99999,-99999,"",-99999,"","","",""
"112","UMBS",-99999,-99999,"",-99999,"","","",""
"113","UMBS",-99999,-99999,"",-99999,"","","",""
"114","UMBS",-99999,-99999,"",-99999,"","","",""
"115","UMBS",-99999,-99999,"",-99999,"","","",""
"116","UMBS",-99999,-99999,"",-99999,"","","",""
"117","UMBS",-99999,-99999,"",-99999,"","","",""
"118","UMBS",-99999,-99999,"",-99999,"","","",""
"119","UMBS",-99999,-99999,"",-99999,"","","",""
"120","UMBS",-99999,-99999,"",-99999,"","","",""
"121","UMBS",-99999,-99999,"",-99999,"","","",""
"122","UMBS",-99999,-99999,"",-99999,"","","",""
"123","UMBS",-99999,-99999,"",-99999,"","","",""
"124","UMBS",-99999,-99999,"",-99999,"","","",""
"125","UMBS",-99999,-99999,"",-99999,"","","",""
"126","UMBS",-99999,-99999,"",-99999,"","","",""
"127","UMBS",-99999,-99999,"",-99999,"","","",""
"128","UMBS",-99999,-99999,"",-99999,"","","",""
"129","UMBS",-99999,-99999,"",-99999,"","","",""
"130","UMBS",-99999,-99999,"",-99999,"","","",""
"131","UMBS",-99999,-99999,"",-99999,"","","",""
"132","UMBS",-99999,-99999,"",-99999,"","","",""
"133","UMBS",-99999,-99999,"",-99999,"","","",""
"134","UMBS",-99999,-99999,"",-99999,"","","",""
"135","UMBS",-99999,-99999,"",-99999,"","","",""
"136","UMBS",-99999,-99999,"",-99999,"","","",""
"137","UMBS",-99999,-99999,"",-99999,"","","",""
"138","UMBS",-99999,-99999,"",-99999,"","","",""
"139","UMBS",-99999,-99999,"",-99999,"","","",""
"140","UMBS",-99999,-99999,"",-99999,"","","",""
"141","UMBS",-99999,-99999,"",-99999,"","","",""
"142","UMBS",-99999,-99999,"",-99999,"","","",""
"143","UMBS",-99999,-99999,"",-99999,"","","",""
"144","UMBS",-99999,-99999,"",-99999,"","","",""
"145","UMBS",-99999,-99999,"",-99999,"","","",""
"146","UMBS",-99999,-99999,"",-99999,"","","",""
"147","UMBS",-99999,-99999,"",-99999,"","","",""
"148","UMBS",-99999,-99999,"",-99999,"","","",""
"149","UMBS",-99999,-99999,"",-99999,"","","",""
"150","UMBS",-99999,-99999,"",-99999,"","","",""
"151","UMBS",-99999,-99999,"",-99999,"","","",""
"152","UMBS",-99999,-99999,"",-99999,"","","",""
"153","UMBS",-99999,-99999,"",-99999,"","","",""
"154","UMBS",-99999,-99999,"",-99999,"","","",""
"155","UMBS",-99999,-99999,"",-99999,"","","",""
"156","UMBS",-99999,-99999,"",-99999,"","","",""
"157","UMBS",-99999,-99999,"",-99999,"","","",""
"158","UMBS",-99999,-99999,"",-99999,"","","",""
"159","UMBS",-99999,-99999,"",-99999,"","","",""
"160","UMBS",-99999,-99999,"",-99999,"","","",""
"161","UMBS",-99999,-99999,"",-99999,"","","",""
"162","UMBS",-99999,-99999,"",-99999,"","","",""
"163","UMBS",-99999,-99999,"",-99999,"","","",""
"164","UMBS",-99999,-99999,"",-99999,"","","",""
"165","UMBS",-99999,-99999,"",-99999,"","","",""
"166","UMBS",-99999,-99999,"",-99999,"","","",""
"167","UMBS",-99999,-99999,"",-99999,"","","",""
"168","UMBS",-99999,-99999,"",-99999,"","","",""
"169","UMBS",-99999,-99999,"",-99999,"","","",""
"170","UMBS",-99999,-99999,"",-99999,"","","",""
"171","UMBS",-99999,-99999,"",-99999,"","","",""
"172","UMBS",-99999,-99999,"",-99999,"","","",""
"173","UMBS",-99999,-99999,"",-99999,"","","",""
"174","UMBS",-99999,-99999,"",-99999,"","","",""
"175","UMBS",-99999,-99999,"",-99999,"","","",""
"176","UMBS",-99999,-99999,"",-99999,"","","",""
"177","UMBS",-99999,-99999,"",-99999,"","","",""
"178","UMBS",-99999,-99999,"",-99999,"","","",""
"179","UMBS",-99999,-99999,"",-99999,"","","",""
"180","UMBS",-99999,-99999,"",-99999,"","","",""
"181","UMBS",-99999,-99999,"",-99999,"","","",""
"182","UMBS",-99999,-99999,"",-99999,"","","",""
"183","UMBS",-99999,-99999,"",-99999,"","","",""
"184","UMBS",-99999,-99999,"",-99999,"","","",""
"185","UMBS",-99999,-99999,"",-99999,"","","",""
"186","UMBS",-99999,-99999,"",-99999,"","","",""
"187","UMBS",-99999,-99999,"",-99999,"","","",""
"188","UMBS",-99999,-99999,"",-99999,"","","",""
"189","UMBS",-99999,-99999,"",-99999,"","","",""
"190","UMBS",-99999,-99999,"",-99999,"","","",""
"191","UMBS",-99999,-99999,"",-99999,"","","",""
"192","UMBS",-99999,-99999,"",-99999,"","","",""
"193","UMBS",-99999,-99999,"",-99999,"","","",""
"194","UMBS",-99999,-99999,"",-99999,"","","",""
"195","UMBS",-99999,-99999,"",-99999,"","","",""
"196","UMBS",-99999,-99999,"",-99999,"","","",""
"197","UMBS",-99999,-99999,"",-99999,"","","",""
"198","UMBS",-99999,-99999,"",-99999,"","","",""
"199","UMBS",-99999,-99999,"",-99999,"","","",""
"200","UMBS",-99999,-99999,"",-99999,"","","",""
"201","UMBS",-99999,-99999,"",-99999,"","","",""
"202","UMBS",-99999,-99999,"",-99999,"","","",""
"203","UMBS",-99999,-99999,"",-99999,"","","",""
"204","UMBS",-99999,-99999,"",-99999,"","","",""
"205","UMBS",-99999,-99999,"",-99999,"","","",""
"206","UMBS",-99999,-99999,"",-99999,"","","",""
"207","UMBS",-99999,-99999,"",-99999,"","","",""
"208","UMBS",-99999,-99999,"",-99999,"","","",""
"209","UMBS",-99999,-99999,"",-99999,"","","",""
"210","UMBS",-99999,-99999,"",-99999,"","","",""
"211","UMBS",-99999,-99999,"",-99999,"","","",""
"212","UMBS",-99999,-99999,"",-99999,"","","",""
"213","UMBS",-99999,-99999,"",-99999,"","","",""
"214","UMBS",-99999,-99999,"",-99999,"","","",""
"215","UMBS",-99999,-99999,"",-99999,"","","",""
"216","UMBS",-99999,-99999,"",-99999,"","","",""
"217","UMBS",-99999,-99999,"",-99999,"","","",""
"218","UMBS",-99999,-99999,"",-99999,"","","",""
"219","UMBS",-99999,-99999,"",-99999,"","","",""
"220","UMBS",-99999,-99999,"",-99999,"","","",""
"221","UMBS",-99999,-99999,"",-99999,"","","",""
"222","UMBS",-99999,-99999,"",-99999,"","","",""
"223","UMBS",-99999,-99999,"",-99999,"","","",""
"224","UMBS",-99999,-99999,"",-99999,"","","",""
"225","UMBS",-99999,-99999,"",-99999,"","","",""
"226","UMBS",-99999,-99999,"",-99999,"","","",""
"227","UMBS",-99999,-99999,"",-99999,"","","",""
"228","UMBS",-99999,-99999,"",-99999,"","","",""
"229","UMBS",-99999,-99999,"",-99999,"","","",""
"230","UMBS",-99999,-99999,"",-99999,"","","",""
"231","UMBS",-99999,-99999,"",-99999,"","","",""
"232","UMBS",-99999,-99999,"",-99999,"","","",""
"233","UMBS",-99999,-99999,"",-99999,"","","",""
"234","UMBS",-99999,-99999,"",-99999,"","","",""
"235","UMBS",-99999,-99999,"",-99999,"","","",""
"236","UMBS",-99999,-99999,"",-99999,"","","",""
"237","UMBS",-99999,-99999,"",-99999,"","","",""
"238","UMBS",-99999,-99999,"",-99999,"","","",""
"239","UMBS",-99999,-99999,"",-99999,"","","",""
"240","UMBS",-99999,-99999,"",-99999,"","","",""
"241","UMBS",-99999,-99999,"",-99999,"","","",""
"242","UMBS",-99999,-99999,"",-99999,"","","",""
"243","UMBS",-99999,-99999,"",-99999,"","","",""
"244","UMBS",-99999,-99999,"",-99999,"","","",""
"245","UMBS",-99999,-99999,"",-99999,"","","",""
"246","UMBS",-99999,-99999,"",-99999,"","","",""
"247","UMBS",-99999,-99999,"",-99999,"","","",""
"248","UMBS",-99999,-99999,"",-99999,"","","",""
"249","UMBS",-99999,-99999,"",-99999,"","","",""
"250","UMBS",-99999,-99999,"",-99999,"","","",""
"251","UMBS",-99999,-99999,"",-99999,"","","",""
"252","UMBS",-99999,-99999,"",-99999,"","","",""
"253","UMBS",-99999,-99999,"",-99999,"","","",""
"254","UMBS",-99999,-99999,"",-99999,"","","",""
"255","UMBS",-99999,-99999,"",-99999,"","","",""
"256","UMBS",-99999,-99999,"",-99999,"","","",""
"257","UMBS",-99999,-99999,"",-99999,"","","",""
"258","UMBS",-99999,-99999,"",-99999,"","","",""
"259","UMBS",-99999,-99999,"",-99999,"","","",""
"260","UMBS",-99999,-99999,"",-99999,"","","",""
"261","UMBS",-99999,-99999,"",-99999,"","","",""
"262","UMBS",-99999,-99999,"",-99999,"","","",""
"263","UMBS",-99999,-99999,"",-99999,"","","",""
"264","UMBS",-99999,-99999,"",-99999,"","","",""
"265","UMBS",-99999,-99999,"",-99999,"","","",""
"266","UMBS",-99999,-99999,"",-99999,"","","",""
"267","UMBS",-99999,-99999,"",-99999,"","","",""
"268","UMBS",-99999,-99999,"",-99999,"","","",""
"269","UMBS",-99999,-99999,"",-99999,"","","",""
"270","UMBS",-99999,-99999,"",-99999,"","","",""
"271","UMBS",-99999,-99999,"",-99999,"","","",""
"272","UMBS",-99999,-99999,"",-99999,"","","",""
"273","UMBS",-99999,-99999,"",-99999,"","","",""
"274","UMBS",-99999,-99999,"",-99999,"","","",""
"275","UMBS",-99999,-99999,"",-99999,"","","",""
"276","UMBS",-99999,-99999,"",-99999,"","","",""
"277","UMBS",-99999,-99999,"",-99999,"","","",""
"278","UMBS",-99999,-99999,"",-99999,"","","",""
"279","UMBS",-99999,-99999,"",-99999,"","","",""
"280","UMBS",-99999,-99999,"",-99999,"","","",""
"281","UMBS",-99999,-99999,"",-99999,"","","",""
"282","UMBS",-99999,-99999,"",-99999,"","","",""
"283","UMBS",-99999,-99999,"",-99999,"","","",""
"284","UMBS",-99999,-99999,"",-99999,"","","",""
"285","UMBS",-99999,-99999,"",-99999,"","","",""
"286","UMBS",-99999,-99999,"",-99999,"","","",""
"287","UMBS",-99999,-99999,"",-99999,"","","",""
"288","UMBS",-99999,-99999,"",-99999,"","","",""
"289","UMBS",-99999,-99999,"",-99999,"","","",""
"290","UMBS",-99999,-99999,"",-99999,"","","",""
"291","UMBS",-99999,-99999,"",-99999,"","","",""
"292","UMBS",-99999,-99999,"",-99999,"","","",""
"293","UMBS",-99999,-99999,"",-99999,"","","",""
"294","UMBS",-99999,-99999,"",-99999,"","","",""
"295","UMBS",-99999,-99999,"",-99999,"","","",""
"296","UMBS",-99999,-99999,"",-99999,"","","",""
"297","UMBS",-99999,-99999,"",-99999,"","","",""
"298","UMBS",-99999,-99999,"",-99999,"","","",""
"299","UMBS",-99999,-99999,"",-99999,"","","",""
"300","UMBS",-99999,-99999,"",-99999,"","","",""
"301","UMBS",-99999,-99999,"",-99999,"","","",""
"302","UMBS",-99999,-99999,"",-99999,"","","",""
"303","UMBS",-99999,-99999,"",-99999,"","","",""
"304","UMBS",-99999,-99999,"",-99999,"","","",""
"305","UMBS",-99999,-99999,"",-99999,"","","",""
"306","UMBS",-99999,-99999,"",-99999,"","","",""
"307","UMBS",-99999,-99999,"",-99999,"","","",""
"308","UMBS",-99999,-99999,"",-99999,"","","",""
"309","UMBS",-99999,-99999,"",-99999,"","","",""
"310","UMBS",-99999,-99999,"",-99999,"","","",""
"311","UMBS",-99999,-99999,"",-99999,"","","",""
"312","UMBS",-99999,-99999,"",-99999,"","","",""
"313","UMBS",-99999,-99999,"",-99999,"","","",""
"314","UMBS",-99999,-99999,"",-99999,"","","",""
"315","UMBS",-99999,-99999,"",-99999,"","","",""
"316","UMBS",-99999,-99999,"",-99999,"","","",""
"317","UMBS",-99999,-99999,"",-99999,"","","",""
"318","UMBS",-99999,-99999,"",-99999,"","","",""
"319","UMBS",-99999,-99999,"",-99999,"","","",""
"320","UMBS",-99999,-99999,"",-99999,"","","",""
"321","UMBS",-99999,-99999,"",-99999,"","","",""
"322","UMBS",-99999,-99999,"",-99999,"","","",""
"323","UMBS",-99999,-99999,"",-99999,"","","",""
"324","UMBS",-99999,-99999,"",-99999,"","","",""
"325","UMBS",-99999,-99999,"",-99999,"","","",""
"326","UMBS",-99999,-99999,"",-99999,"","","",""
"327","UMBS",-99999,-99999,"",-99999,"","","",""
"328","UMBS",-99999,-99999,"",-99999,"","","",""
"329","UMBS",-99999,-99999,"",-99999,"","","",""
"330","UMBS",-99999,-99999,"",-99999,"","","",""
"331","UMBS",-99999,-99999,"",-99999,"","","",""
"332","UMBS",-99999,-99999,"",-99999,"","","",""
"333","UMBS",-99999,-99999,"",-99999,"","","",""
"334","UMBS",-99999,-99999,"",-99999,"","","",""
"335","UMBS",-99999,-99999,"",-99999,"","","",""
"336","UMBS",-99999,-99999,"",-99999,"","","",""
"337","UMBS",-99999,-99999,"",-99999,"","","",""
"338","UMBS",-99999,-99999,"",-99999,"","","",""
"339","UMBS",-99999,-99999,"",-99999,"","","",""
"340","UMBS",-99999,-99999,"",-99999,"","","",""
"341","UMBS",-99999,-99999,"",-99999,"","","",""
"342","UMBS",-99999,-99999,"",-99999,"","","",""
"343","UMBS",-99999,-99999,"",-99999,"","","",""
"344","UMBS",-99999,-99999,"",-99999,"","","",""
"345","UMBS",-99999,-99999,"",-99999,"","","",""
"346","UMBS",-99999,-99999,"",-99999,"","","",""
"347","UMBS",-99999,-99999,"",-99999,"","","",""
"348","UMBS",-99999,-99999,"",-99999,"","","",""
"349","UMBS",-99999,-99999,"",-99999,"","","",""
"350","UMBS",-99999,-99999,"",-99999,"","","",""
"351","UMBS",-99999,-99999,"",-99999,"","","",""
"352","UMBS",-99999,-99999,"",-99999,"","","",""
"353","UMBS",-99999,-99999,"",-99999,"","","",""
"354","UMBS",-99999,-99999,"",-99999,"","","",""
"355","UMBS",-99999,-99999,"",-99999,"","","",""
"356","UMBS",-99999,-99999,"",-99999,"","","",""
"357","UMBS",-99999,-99999,"",-99999,"","","",""
"358","UMBS",-99999,-99999,"",-99999,"","","",""
"359","UMBS",-99999,-99999,"",-99999,"","","",""
"360","UMBS",-99999,-99999,"",-99999,"","","",""
"361","UMBS",-99999,-99999,"",-99999,"","","",""
"362","UMBS",-99999,-99999,"",-99999,"","","",""
"363","UMBS",-99999,-99999,"",-99999,"","","",""
"364","UMBS",-99999,-99999,"",-99999,"","","",""
"365","UMBS",-99999,-99999,"",-99999,"","","",""
"366","UMBS",-99999,-99999,"",-99999,"","","",""
"367","UMBS",-99999,-99999,"",-99999,"","","",""
"368","UMBS",-99999,-99999,"",-99999,"","","",""
"369","UMBS",-99999,-99999,"",-99999,"","","",""
"370","UMBS",-99999,-99999,"",-99999,"","","",""
"371","UMBS",-99999,-99999,"",-99999,"","","",""
"372","UMBS",-99999,-99999,"",-99999,"","","",""
"373","UMBS",-99999,-99999,"",-99999,"","","",""
"374","UMBS",-99999,-99999,"",-99999,"","","",""
"375","UMBS",-99999,-99999,"",-99999,"","","",""
"376","UMBS",-99999,-99999,"",-99999,"","","",""
"377","UMBS",-99999,-99999,"",-99999,"","","",""
"378","UMBS",-99999,-99999,"",-99999,"","","",""
"379","UMBS",-99999,-99999,"",-99999,"","","",""
"380","UMBS",-99999,-99999,"",-99999,"","","",""
"381","UMBS",-99999,-99999,"",-99999,"","","",""
"382","UMBS",-99999,-99999,"",-99999,"","","",""
"383","UMBS",-99999,-99999,"",-99999,"","","",""
"384","UMBS",-99999,-99999,"",-99999,"","","",""
"385","UMBS",-99999,-99999,"",-99999,"","","",""
"386","UMBS",-99999,-99999,"",-99999,"","","",""
"387","UMBS",-99999,-99999,"",-99999,"","","",""
"388","UMBS",-99999,-99999,"",-99999,"","","",""
"389","UMBS",-99999,-99999,"",-99999,"","","",""
"390","UMBS",-99999,-99999,"",-99999,"","","",""
"391","UMBS",-99999,-99999,"",-99999,"","","",""
"392","UMBS",-99999,-99999,"",-99999,"","","",""
"393","UMBS",-99999,-99999,"",-99999,"","","",""
"394","UMBS",-99999,-99999,"",-99999,"","","",""
"395","UMBS",-99999,-99999,"",-99999,"","","",""
"396","UMBS",-99999,-99999,"",-99999,"","","",""
"397","UMBS",-99999,-99999,"",-99999,"","","",""
"398","UMBS",-99999,-99999,"",-99999,"","","",""
"399","UMBS",-99999,-99999,"",-99999,"","","",""
"400","UMBS",-99999,-99999,"",-99999,"","","",""
"401","UMBS",-99999,-99999,"",-99999,"","","",""
"402","UMBS",-99999,-99999,"",-99999,"","","",""
"403","UMBS",-99999,-99999,"",-99999,"","","",""
"404","UMBS",-99999,-99999,"",-99999,"","","",""
"405","UMBS",-99999,-99999,"",-99999,"","","",""
"406","UMBS",-99999,-99999,"",-99999,"","","",""
"407","UMBS",-99999,-99999,"",-99999,"","","",""
"408","UMBS",-99999,-99999,"",-99999,"","","",""
"409","UMBS",-99999,-99999,"",-99999,"","","",""
"410","UMBS",-99999,-99999,"",-99999,"","","",""
"411","UMBS",-99999,-99999,"",-99999,"","","",""
"412","UMBS",-99999,-99999,"",-99999,"","","",""
"413","UMBS",-99999,-99999,"",-99999,"","","",""
"414","UMBS",-99999,-99999,"",-99999,"","","",""
"415","UMBS",-99999,-99999,"",-99999,"","","",""
