"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes"
"51","UMBS",431,434,"POGR",18.8,"D","UN","6/25/2018",""
"52","UMBS",431,435,"ACRU",8.2,"L","OS","6/25/2018",""
"53","UMBS",431,436,"ACRU",12.9,"L","OS","6/25/2018",""
"54","UMBS",431,437,"QURU",15.1,"L","OS","6/25/2018",""
"55","UMBS",431,438,"QURU",23.4,"L","OS","6/25/2018",""
"56","UMBS",431,439,"PIRE",25,"L","OS","6/25/2018",""
"57","UMBS",431,440,"QURU",28.1,"L","OD","6/25/2018",""
"58","UMBS",431,441,"ACRU",9.3,"L","OS","6/25/2018","in a cluster with 442 &443"
"59","UMBS",431,442,"ACRU",10.9,"L","OS","6/25/2018","In a cluster with 441&443"
"60","UMBS",431,443,"ACRU",14.5,"L","OS","6/25/2018","In a cluster 441 &442"
"61","UMBS",431,444,"POGR",23.2,"L","OD","6/25/2018",""
"62","UMBS",431,445,"POGR",27.5,"L","OD","6/25/2018","in veg plot SW"
"63","UMBS",431,446,"QURU",12.9,"L","OS","6/25/2018","Dbh taken above"
"64","UMBS",431,447,"POGR",23.4,"D","OS","6/25/2018",""
"65","UMBS",431,448,"QURU",26.5,"L","OS","6/25/2018",""
"66","UMBS",431,449,"ACRU",14.9,"L","OS","6/25/2018","in a cluster with 450"
"67","UMBS",430,450,"ACRU",19.3,"L","OS","6/25/2018","In a cluster with 449, in a new plot, new plot number 430"
"68","UMBS",431,451,"FAGR",8.3,"L","OS","6/25/2018","in a cluster"
"69","UMBS",431,452,"POGR",25.8,"L","OD","6/25/2018",""
"70","UMBS",431,453,"QURU",22,"L","OD","6/25/2018","in a cluster with 454"
"71","UMBS",431,454,"QURU",21.4,"L","OD","6/25/2018","in a cluster with 453"
"72","UMBS",431,455,"QURU",18.5,"L","OD","6/25/2018",""
"73","UMBS",431,456,"POGR",19.3,"L","OD","6/25/2018",""
"74","UMBS",431,457,"POGR",22.5,"L","OD","6/25/2018",""
"75","UMBS",431,458,"POGR",21.4,"L","OD","6/25/2018",""
"76","UMBS",431,459,"QURU",34,"L","OD","6/25/2018",""
"77","UMBS",430,460,"PIRE",21.9,"L","OS","6/25/2018","in a new plot, plot number 430"
