Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
112,18,2772,1,362,0,331,333,264,-1.83,2.1,2.78,318.93,-3,45.5636853,-84.7283429,2772
112,18,2773,1,416,0,555,566,490,-2.13,4.71,5.17,335.67,2,45.5637089,-84.7283458,2773
112,18,2775,1,262,0,1121,1113,1040,1.32,10.75,10.83,7.02,9,45.5637623,-84.7282994,2775
112,18,2776,1,195,0,1106,1080,1014,3.96,9.84,10.61,21.92,0,45.5637535,-84.728266,2776
112,18,2774,1,108,0,1790,1756,1717,9.54,14.72,17.55,32.94,11,45.563796,-84.7281927,2774
112,18,2777,1,265,0,169,116,109,0.29,0.38,0.48,37.35,-6,45.5636693,-84.7283164,2777
112,18,2778,1,160,0,1160,1149,1084,2.21,11.06,11.28,11.31,5,45.5637649,-84.7282879,2778
112,18,2779,1,98,0,1186,1174,1110,2.49,11.28,11.55,12.44,2,45.5637668,-84.7282843,2779
112,18,2781,1,426,0,1357,1350,1269,1.07,13.05,13.09,4.69,0,45.5637831,-84.7283018,2781
112,18,2782,1,382,0,1418,1304,1262,9.42,9.17,13.15,45.77,5,45.5637461,-84.7281962,2782
112,18,2783,1,165,0,1137,1107,1055,5.19,9.65,10.96,28.27,1,45.5637514,-84.7282503,2783
112,18,2784,1,11,0,979,881,871,7.6,5.09,9.14,56.19,9,45.5637098,-84.7282211,2784
112,18,2785,1,367,0,1028,957,933,7.2,6.34,9.59,48.66,-6,45.5637211,-84.7282257,2785
112,18,2786,1,230,0,1362,1274,1250,9.87,8.3,12.89,49.93,3,45.5637381,-84.7281909,2786
112,18,2787,1,207,0,1472,1308,1285,10.8,8.08,13.49,53.22,2,45.5637359,-84.728179,2787
112,18,2788,1,127,0,840,780,792,7.28,3.28,7.98,65.75,0,45.5636936,-84.7282258,2788
112,18,2789,1,359,0,561,500,500,4.23,2.69,5.02,57.57,-5,45.5636891,-84.728265,2789
112,18,2790,1,309,0,285,219,232,1.86,1.15,2.19,58.26,16,45.5636759,-84.7282959,2790
112,18,2791,1,364,0,408,334,369,3.21,1.33,3.47,67.49,-3,45.5636771,-84.7282787,2791
112,18,2792,1,322,0,791,721,744,6.92,2.54,7.37,69.83,-7,45.5636871,-84.7282307,2792
112,18,2793,1,312,0,1354,1301,1325,12.9,2.49,13.14,79.09,-3,45.5636851,-84.7281541,2793
112,18,2796,1,127,0,1334,1168,1175,10.76,5.84,12.25,61.51,8,45.5637158,-84.7281803,2796
112,18,2797,1,253,0,1252,1192,1192,10.34,6.16,12.03,59.22,-1,45.5637187,-84.7281856,2797
112,18,2798,1,395,0,899,823,868,8.42,0.85,8.47,84.24,2,45.5636715,-84.728212,2798
112,18,2799,1,130,0,831,756,800,7.88,0.85,7.92,83.84,1,45.5636716,-84.728219,2799
112,18,2800,1,333,0,158,97,172,0.32,-0.4,0.51,141.34,2,45.5636623,-84.7283163,2800
112,18,2801,1,178,0,1234,1157,1202,11.93,0.5,11.94,87.6,1,45.5636674,-84.7281673,2801
112,18,2802,1,309,0,1325,1247,1304,12.67,-1.92,12.81,98.61,-6,45.5636455,-84.7281587,2802
112,18,2804,1,94,0,1766,1708,1781,12.53,-12.23,17.51,134.31,0,45.5635528,-84.7281642,2804
112,18,2805,1,264,0,1537,1465,1544,12.24,-8.77,15.06,125.62,-6,45.563584,-84.7281667,2805
112,18,2806,1,120,0,1281,1221,1291,9.54,-8.26,12.62,130.89,-3,45.5635893,-84.7282011,2806
112,18,2807,1,83,0,1082,1025,1106,6.32,-8.63,10.7,143.82,2,45.5635867,-84.7282425,2807
112,18,2808,1,134,0,928,871,949,5.52,-7.26,9.12,142.76,-6,45.5635993,-84.7282522,2808
112,18,2809,1,195,0,734,674,739,5.55,-4.38,7.07,128.28,-1,45.5636252,-84.7282508,2809
112,18,2810,1,302,0,161,161,221,0.18,-1.39,1.4,172.72,-9,45.5636534,-84.7283185,2810
112,18,2811,1,369,0,545,525,593,0.99,-5.26,5.35,169.34,1,45.5636184,-84.7283095,2811
112,18,2812,1,365,0,1284,1226,1309,7.73,-9.93,12.58,142.09,-3,45.5635747,-84.7282249,2812
112,18,2813,1,84,0,1297,1234,1315,8.77,-9.34,12.82,136.8,-2,45.5635797,-84.7282113,2813
112,18,2814,1,103,0,1316,1256,1337,8.44,-9.89,13.01,139.52,-2,45.5635748,-84.7282157,2814
112,18,2815,1,286,0,1552,1488,1665,5.33,-14.65,15.59,160.01,-7,45.5635329,-84.7282573,2815
112,18,2816,1,327,0,1606,1532,1657,8.66,-13.31,15.88,146.96,3,45.563544,-84.7282142,2816
112,18,2817,1,438,0,1468,1426,1495,7.73,-12.21,14.45,147.68,6,45.5635542,-84.7282257,2817
112,18,2818,1,206,0,1432,1438,1558,-0.38,-14.7,14.71,181.47,5,45.5635338,-84.7283304,2818
112,18,2819,1,228,0,1413,1352,1468,6.54,-12.42,14.04,152.25,2,45.5635526,-84.728241,2819
