sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
143, 18.00,Plot,0,,0,0,0,0,0,0,0,0,0,45.5637172,-84.7260600
143, 18.00,02733,   1,  16,   0, 933, 996,1012,-6.57,-7.28,9.81,222.08,-6,45.5636534,-84.7261468,2733
143, 18.00,02734,   1, 410,   0,1364,1456,1444,-13.05,-5.22,14.06,248.21,-8,45.5636736,-84.7262290,2734
143, 18.00,02735,   1, 102,   0,1400,1470,1501,-8.97,-11.47,14.56,218.04,-8,45.5636163,-84.7261790,2735
143, 18.00,02736,   1, 359,   0,1610,1648,1651,-13.09,-9.56,16.21,233.85,-11,45.5636345,-84.7262310,2736
143, 18.00,02737,   1, 481,   0,1221,1282,1291,-9.34,-8.22,12.44,228.65,-8,45.5636456,-84.7261826,2737
143, 18.00,02738,   1, 115,   0,1257,1319,1325,-10.36,-7.81,12.97,232.97,-11,45.5636496,-84.7261954,2738
143, 18.00,02739,   1, 145,   0, 655, 730, 711,-6.89,-0.53,6.91,265.61,-4,45.5637142,-84.7261485,2739
143, 18.00,02740,   1, 460,   0, 923, 996, 984,-9.07,-2.79,9.49,252.92,-10,45.5636944,-84.7261772,2740
143, 18.00,02741,   1, 193,   0,1396,1469,1459,-13.45,-5.04,14.36,249.47,-11,45.5636753,-84.7262340,2741
143, 18.00,02742,   1, 130,   0,1242,1305,1292,-12.37,-3.11,12.76,255.88,-6,45.5636923,-84.7262195,2742
143, 18.00,02743,   1, 375,   0,1018,1095,1062,-10.43,0.36,10.44,271.97,-5,45.5637231,-84.7261934,2743
143, 18.00,02744,   1, 430,   0,1148,1227,1195,-11.73,-0.04,11.73,269.81,-6,45.5637198,-84.7262102,2744
143, 18.00,02745,   1, 235,   0,1723,1803,1776,-17.48,-2.12,17.61,263.09,-8,45.5637026,-84.7262846,2745
143, 18.00,02747,   1,  99,   0,1534,1613,1569,-15.53,2.32,15.70,278.49,-2,45.5637420,-84.7262580,2747
143, 18.00,02748,   1, 443,   0,1404,1482,1442,-14.19,1.27,14.25,275.12,-10,45.5637322,-84.7262413,2748
143, 18.00,02749,   1, 357,   0,1333,1429,1365,-13.22,3.30,13.62,284.01,-5,45.5637502,-84.7262281,2749
143, 18.00,02750,   1, 303,   0, 556, 626, 566,-5.17,2.33,5.67,294.26,-1,45.5637395,-84.7261253,2750
143, 18.00,02751,   1, 331,   0, 860, 933, 875,-8.14,3.22,8.75,291.57,-8,45.5637482,-84.7261631,2751
143, 18.00,02752,   1, 139,   0,1541,1616,1568,-15.29,3.65,15.72,283.44,-7,45.5637539,-84.7262544,2752
143, 18.00,02753,   1, 242,   0,1570,1648,1608,-15.94,1.54,16.01,275.52,-1,45.5637351,-84.7262635,2753
143, 18.00,02754,   1, 548,   0,1697,1768,1699,-15.02,7.94,16.99,297.86,-4,45.5637924,-84.7262495,2754
143, 18.00,02755,   1, 472,   0,1346,1406,1333,-10.86,7.89,13.42,306.00,-1,45.5637909,-84.7261962,2755
143, 18.00,02756,   1, 449,   0,1162,1225,1155,-9.80,6.24,11.62,302.46,-5,45.5637758,-84.7261833,2756
143, 18.00,02758,   1, 342,   0, 373, 412, 337,-2.76,2.18,3.52,308.30,1,45.5637375,-84.7260946,2758
143, 18.00,02759,   1, 447,   0, 730, 778, 700,-5.32,4.78,7.15,311.94,-1,45.5637615,-84.7261264,2759
143, 18.00,02760,   1, 113,   0,1095,1147,1074,-8.33,7.23,11.03,310.96,-3,45.5637843,-84.7261640,2760
143, 18.00,02761,   1, 427,   0,1199,1256,1181,-9.35,7.44,11.95,308.51,1,45.5637865,-84.7261770,2761
143, 18.00,02762,   1, 154,   0,1352,1439,1342,-11.42,7.65,13.74,303.83,5,45.5637889,-84.7262034,2762
143, 18.00,02763,   1, 188,   0,1683,1733,1657,-11.85,11.99,16.86,315.34,4,45.5638281,-84.7262074,2763
143, 18.00,02765,   1, 391,   0,1302,1478,1246,-9.73,8.98,13.24,312.71,-3,45.5638004,-84.7261813,2765
143, 18.00,02766,   1, 465,   0,1030,1069, 993,-6.53,7.70,10.10,319.70,0,45.5637881,-84.7261408,2766
143, 18.00,02767,   1, 319,   0, 928, 965, 891,-5.90,6.99,9.15,319.83,1,45.5637816,-84.7261330,2767
143, 18.00,02768,   1, 490,   0, 356, 365, 294,-2.05,2.26,3.05,317.79,-1,45.5637380,-84.7260854,2768
143, 18.00,02769,   1,  84,   0,1375,1428,1330,-8.49,10.85,13.78,321.95,2,45.5638170,-84.7261648,2769
143, 18.00,02770,   1,  85,   0,1394,1440,1351,-8.37,11.15,13.95,323.10,2,45.5638196,-84.7261632,2770
143, 18.00,02771,   1,  81,   0,1384,1417,1334,-6.81,11.99,13.79,330.39,-4,45.5638268,-84.7261429,2771
143, 18.00,02757,   1, 150,   0,1379,1406,1326,-5.94,12.32,13.68,334.26,1,45.5638295,-84.7261316,2757
