sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
231, 18.00,Plot,0,,0,0,0,0,0,0,0,0,0,45.5562635,-84.7259210
231, 18.00,01959,   1, 247,   0, 653, 656, 587,-0.81,6.16,6.21,352.51,-2,45.5563191,-84.7259291,1959
231, 18.00,01960,   1, 159,   0,1147,1159,1095,-3.19,10.83,11.29,343.59,-1,45.5563617,-84.7259579,1960
231, 18.00,01961,   1, 155,   0,1586,1590,1510,-1.02,15.57,15.60,356.27,5,45.5564038,-84.7259283,1961
231, 18.00,01962,   1, 555,   0,1442,1410,1362,6.45,12.24,13.83,27.81,14,45.5563719,-84.7258339,1962
231, 18.00,01963,   1, 276,   0,1535,1492,1440,7.64,12.69,14.81,31.04,6,45.5563757,-84.7258186,1963
231, 18.00,01965,   1,  80,   0,1094,1067,1012,4.68,9.48,10.57,26.27,-4,45.5563475,-84.7258576,1965
231, 18.00,01966,   1, 122,   0,1077,1060,1003,3.41,9.85,10.43,19.08,2,45.5563512,-84.7258738,1966
231, 18.00,01967,   1, 107,   0, 516, 496, 442,2.63,3.98,4.77,33.49,-4,45.5562986,-84.7258858,1967
231, 18.00,01968,   1, 108,   0, 789, 738, 714,5.54,4.95,7.43,48.21,4,45.5563066,-84.7258483,1968
231, 18.00,01969,   1, 180,   0,1141,1100,1058,6.49,8.82,10.95,36.35,1,45.5563411,-84.7258347,1969
231, 18.00,01991,   1, 132,   0,1340,1280,1244,8.69,9.49,12.87,42.48,-1,45.5563466,-84.7258063,1991
231, 18.00,01971,   1,  84,   0,1496,1445,1412,9.54,10.94,14.52,41.08,-9,45.5563595,-84.7257948,1971
231, 18.00,01972,   1, 410,   0,1867,1803,1768,12.05,13.35,17.98,42.08,4,45.5563805,-84.7257618,1972
231, 18.00,01973,   1, 404,   0,1787,1741,1705,10.58,13.68,17.29,37.72,-1,45.5563838,-84.7257806,1973
231, 18.00,01974,   1, 102,   0,1716,1623,1607,13.21,9.89,16.50,53.18,-1,45.5563491,-84.7257483,1974
231, 18.00,01975,   1,  96,   0,1706,1605,1596,13.60,9.12,16.37,56.15,-1,45.5563420,-84.7257436,1975
231, 18.00,01976,   1,  89,   0,1743,1657,1656,14.50,8.62,16.87,59.26,-2,45.5563374,-84.7257322,1976
231, 18.00,01977,   1, 444,   0,1579,1543,1501,8.10,12.90,15.23,32.13,-4,45.5563774,-84.7258126,1977
