sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
341, 18.00,Plot,0,,0,0,0,0,0,0,0,0,0,45.5636948,-84.7036934
341, 18.00,01360,   1, 139,   0,1607,1622,1551,-4.26,15.33,15.91,344.46,5,45.5638338,-84.7037424,1360
341, 18.00,01361,   1, 247,   0,1676,1689,1617,-3.79,16.09,16.53,346.75,2,45.5638405,-84.7037360,1361
341, 18.00,01362,   1,  97,   0,1784,1797,1725,-3.96,17.24,17.69,347.05,-3,45.5638508,-84.7037378,1362
341, 18.00,01363,   1,  80,   0,1713,1719,1651,-1.88,16.84,16.94,353.62,5,45.5638467,-84.7037113,1363
341, 18.00,01364,   1, 128,   0,1787,1781,1717,1.70,17.51,17.60,5.56,-5,45.5638519,-84.7036652,1364
341, 18.00,01365,   1, 153,   0,1615,1604,1545,2.96,15.57,15.85,10.78,-10,45.5638341,-84.7036497,1365
341, 18.00,01366,   1, 150,   0,1062,1047, 990,3.09,9.80,10.28,17.50,0,45.5637821,-84.7036502,1366
341, 18.00,01367,   1, 118,   0, 983, 965, 911,3.46,8.85,9.50,21.32,8,45.5637735,-84.7036459,1367
341, 18.00,01368,   1,  95,   0,1624,1601,1551,6.17,14.68,15.92,22.80,-1,45.5638252,-84.7036090,1368
341, 18.00,01369,   1,  98,   0,1640,1614,1566,6.87,14.52,16.06,25.32,-1,45.5638236,-84.7036001,1369
341, 18.00,01370,   1, 101,   0,1707,1686,1635,5.87,15.70,16.76,20.50,-10,45.5638345,-84.7036125,1370
341, 18.00,01371,   1, 281,   0,1674,1636,1598,9.26,13.38,16.27,34.69,1,45.5638127,-84.7035699,1371
341, 18.00,01372,   1, 408,   0,1543,1506,1468,8.42,12.29,14.90,34.42,-6,45.5638032,-84.7035810,1372
341, 18.00,01373,   1,  89,   0,1977,1779,1745,14.38,11.34,18.32,51.74,-2,45.5637931,-84.7035051,1373
341, 18.00,01374,   1, 283,   0,1449,1405,1374,9.08,10.65,14.00,40.43,-4,45.5637883,-84.7035732,1374
341, 18.00,01375,   1, 186,   0,1777,1723,1701,12.56,11.89,17.30,46.57,-2,45.5637985,-84.7035282,1375
341, 18.00,01376,   1, 359,   0,1751,1687,1685,14.40,8.96,16.95,58.11,-5,45.5637716,-84.7035058,1376
341, 18.00,01377,   1, 314,   0,1605,1528,1545,14.44,5.62,15.49,68.73,1,45.5637416,-84.7035065,1377
341, 18.00,01378,   1, 158,   0,1404,1326,1351,13.01,3.86,13.57,73.47,-8,45.5637262,-84.7035254,1378
